ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,176.52,0.54,616890,848700.0,0.73,176.348,175.146,162.177,55.9,2.66,0.9,1.33,182.26,140.78,182.26,171.1,,,,,False,25,17,4,7,3,4,10,70,BON,Achat - position standard,vert clair,172.53,183.17,2026-07-24
AIR.PA,Airbus,Aéronautique,206.05,0.76,920671,1078734.0,0.85,200.58,197.58,184.648,63.0,5.26,1.04,2.21,221.3,157.42,210.95,189.22,,,,,False,25,17,6,7,10,7,10,82,EXCELLENT,Achat fort - position pleine,vert,198.16,219.2,2026-07-24
ALO.PA,Alstom,Industrie,16.01,-0.09,1474361,1488177.0,0.99,15.887,15.851,20.003,51.5,0.461,1.01,2.77,30.23,14.72,16.87,14.93,,2.0,,,False,3,20,6,7,4,4,10,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.32,17.16,2026-07-24
MT.AS,ArcelorMittal,Matériaux,58.94,1.9,1740941,1902409.0,0.92,57.986,57.284,47.871,57.6,2.11,0.97,3.37,62.6,26.35,59.98,51.24,,9.0,,,False,25,17,6,7,8,7,10,80,EXCELLENT,Achat fort - position pleine,vert,55.78,64.21,2026-07-24
CS.PA,AXA,Assurance,44.83,0.16,2100884,2550698.0,0.82,44.634,44.117,40.738,69.2,0.56,0.96,1.18,45.47,36.55,45.47,43.14,,,,5.0,False,25,10,6,7,3,7,10,68,BON,Achat - position standard,vert clair,43.99,46.23,2026-07-24
BNP.PA,BNP Paribas,Banque,105.92,2.08,1571440,1707228.0,0.92,104.04,102.522,89.247,62.1,2.221,1.09,2.13,107.18,65.12,107.18,97.31,,,,2.0,False,25,17,6,7,8,7,10,80,EXCELLENT,Achat fort - position pleine,vert,102.59,111.47,2026-07-24
EN.PA,Bouygues,BTP/Télécom,47.54,-0.61,431325,715915.0,0.6,47.761,47.978,46.78,44.4,0.844,0.92,1.72,53.48,35.39,49.75,45.7,,,,,False,12,20,8,7,4,4,10,65,BON,Achat - position standard,vert clair,46.27,49.65,2026-07-24
CAP.PA,Capgemini,Technologie,89.88,4.44,704436,680960.0,1.03,89.681,90.758,110.654,46.4,3.49,1.01,3.79,153.05,85.62,95.3,85.62,,,,1.0,False,0,20,6,7,10,4,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,84.65,98.6,2026-07-24
CA.PA,Carrefour,Distribution,15.7,-4.85,4934097,2161552.0,2.28,16.388,16.394,15.392,38.6,0.406,1.12,1.87,17.53,11.94,16.91,15.22,baissier,0.0,,5.0,True,12,15,2,10,3,4,10,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.1,16.72,2026-07-24
ACA.PA,Crédit Agricole,Banque,18.5,2.61,6015133,4069660.0,1.48,18.044,17.805,17.039,67.4,0.292,1.02,1.59,19.15,15.29,18.5,16.97,,,haussière,0.0,False,25,10,12,7,8,10,10,82,EXCELLENT,Achat fort - position pleine,vert,18.07,19.24,2026-07-24
