ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,171.74,0.15,800173,802203.0,1.0,174.373,174.524,162.63,44.7,2.864,0.98,1.32,182.26,140.78,182.26,170.12,baissier,0.0,,,False,12,20,6,7,3,4,10,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,167.44,178.9,2026-07-30
AIR.PA,Airbus,Aéronautique,204.0,-2.81,1508027,1057087.0,1.43,205.069,201.176,185.609,56.0,5.25,1.03,2.01,221.3,157.42,213.35,190.9,,,,2.0,False,25,17,2,7,4,4,10,69,BON,Achat - position standard,vert clair,196.13,217.12,2026-07-30
ALO.PA,Alstom,Industrie,16.01,-2.32,1314000,1344427.0,0.98,16.082,15.975,19.855,50.0,0.441,0.96,2.66,30.23,14.72,16.87,15.03,,6.0,,,False,3,20,6,7,4,4,10,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.35,17.11,2026-07-30
MT.AS,ArcelorMittal,Matériaux,59.6,3.15,2398246,1860242.0,1.29,58.431,57.748,48.293,58.0,2.152,0.99,3.46,62.6,26.35,60.28,53.6,,,,,False,25,17,12,7,8,7,10,86,EXCELLENT,Achat fort - position pleine,vert,56.37,64.98,2026-07-30
CS.PA,AXA,Assurance,45.22,0.47,2977364,2392607.0,1.24,44.988,44.488,40.919,66.3,0.583,1.01,1.2,45.66,36.55,45.66,43.29,,,,2.0,False,25,10,12,7,3,7,10,74,BON,Achat - position standard,vert clair,44.35,46.68,2026-07-30
BNP.PA,BNP Paribas,Banque,108.84,1.8,1819924,1716818.0,1.06,106.356,104.302,89.979,65.7,2.388,1.14,2.23,109.34,65.12,109.34,97.31,,,,3.0,False,25,10,6,10,8,7,10,76,BON,Achat - position standard,vert clair,105.26,114.81,2026-07-30
EN.PA,Bouygues,BTP/Télécom,49.45,7.13,1189069,663110.0,1.79,47.602,47.776,46.8,58.7,1.084,1.19,2.09,53.48,35.39,49.77,45.7,,,haussière,0.0,True,12,17,15,10,10,10,10,84,EXCELLENT,Achat fort - position pleine,vert,47.82,52.16,2026-07-30
CAP.PA,Capgemini,Technologie,102.0,-4.76,1277569,734849.0,1.74,97.027,94.397,110.227,61.0,4.286,1.21,4.65,153.05,85.62,108.75,85.62,,2.0,,1.0,True,3,17,2,10,8,7,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,95.57,112.71,2026-07-30
CA.PA,Carrefour,Distribution,16.04,2.26,2066899,2313445.0,0.89,16.126,16.247,15.409,46.3,0.411,1.1,2.12,17.53,11.94,16.91,15.22,,4.0,,9.0,False,12,20,6,10,6,4,10,68,BON,Achat - position standard,vert clair,15.42,17.07,2026-07-30
ACA.PA,Crédit Agricole,Banque,18.78,2.26,5236773,4173675.0,1.25,18.382,18.071,17.101,67.2,0.304,1.05,1.59,19.15,15.29,18.88,16.97,,,haussière,0.0,False,25,10,12,7,8,10,10,82,EXCELLENT,Achat fort - position pleine,vert,18.33,19.54,2026-07-30
BN.PA,Danone,Agroalimentaire,68.34,-3.17,1627553,1343331.0,1.21,70.506,70.745,69.734,42.3,1.646,1.23,2.08,80.14,60.64,74.68,68.12,baissier,0.0,,5.0,False,8,20,2,10,3,4,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,65.87,72.46,2026-07-30
DSY.PA,Dassault Systèmes,Technologie,20.21,-3.81,2059708,2058676.0,1.0,19.759,19.111,21.188,61.8,0.735,1.14,4.06,30.36,15.82,21.21,17.56,,4.0,,2.0,False,3,17,6,10,4,7,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,19.11,22.05,2026-07-30
EDEN.PA,Edenred,Services,28.24,-1.91,654219,874567.0,0.75,27.29,26.024,22.155,70.7,0.889,1.09,3.47,28.97,15.23,28.97,23.04,,,,1.0,False,25,3,4,7,4,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,26.91,30.46,2026-07-30
ENGI.PA,Engie,Énergie,26.07,0.39,2756868,2607442.0,1.06,26.681,26.898,25.237,39.7,0.575,1.09,2.06,29.89,17.2,27.93,25.94,,2.0,,1.0,False,12,15,6,7,3,4,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,25.21,27.51,2026-07-30
EL.PA,EssilorLuxottica,Santé/Optique,163.6,-0.91,987622,599515.0,1.65,165.572,167.276,209.636,42.8,5.267,1.03,2.76,323.8,160.6,177.95,160.8,,,,,True,0,20,2,7,3,4,10,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,155.7,176.77,2026-07-30
ERF.PA,Eurofins Scientific,Santé,68.6,-0.06,185738,245732.0,0.76,68.393,68.244,64.04,53.2,1.744,1.1,2.53,74.32,54.86,71.28,64.56,,,,5.0,False,25,20,4,10,6,7,10,82,EXCELLENT,Achat fort - position pleine,vert,65.98,72.96,2026-07-30
RMS.PA,Hermès,Luxe,1550.5,2.78,133161,89755.0,1.48,1617.067,1634.462,1837.198,40.8,58.901,1.18,3.14,2300.0,1465.5,1709.0,1465.5,,1.0,,1.0,False,0,20,12,10,3,4,10,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,1462.15,1697.75,2026-07-30
KER.PA,Kering,Luxe,290.65,-0.75,515730,297450.0,1.73,263.295,257.229,258.011,69.3,10.765,1.16,3.13,354.2,207.9,292.85,236.2,,1.0,,1.0,True,20,10,15,10,8,7,10,80,EXCELLENT,Achat fort - position pleine,vert,274.5,317.56,2026-07-30
