ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,166.78,-0.16,600383,708698.0,0.85,168.918,170.806,163.407,35.0,2.281,0.85,1.12,182.26,140.78,178.12,166.4,,,,2.0,False,12,15,6,7,6,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.36,172.48,2026-08-19
AIR.PA,Airbus,Aéronautique,208.05,-0.83,600124,999955.0,0.6,211.511,209.374,189.076,50.9,4.436,0.88,1.79,221.3,157.42,217.05,201.65,,,,,False,25,20,8,7,3,4,7,74,BON,Achat - position standard,vert clair,201.4,219.14,2026-08-19
ALO.PA,Alstom,Industrie,15.88,0.47,887128,1114034.0,0.8,16.106,16.159,19.391,44.8,0.381,0.87,2.13,30.23,14.72,17.05,15.3,,1.0,,,False,0,20,4,7,3,4,7,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,15.3,16.83,2026-08-19
MT.AS,ArcelorMittal,Matériaux,62.24,0.81,1172547,1505942.0,0.78,62.82,61.778,50.053,55.1,1.961,0.95,2.98,65.24,27.42,65.24,56.78,,,,,False,25,17,4,7,3,7,7,70,BON,Achat - position standard,vert clair,59.3,67.14,2026-08-19
CS.PA,AXA,Assurance,43.98,-1.28,2447157,2260686.0,1.08,44.602,44.604,41.352,42.7,0.553,0.96,1.13,45.66,36.55,45.66,43.98,baissier,0.0,baissière,0.0,False,12,20,6,7,3,0,7,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.15,45.36,2026-08-19
BNP.PA,BNP Paribas,Banque,106.78,-2.39,1881786,1605981.0,1.17,110.207,109.18,92.46,45.6,1.992,0.91,1.56,113.82,65.12,113.82,103.46,,,,9.0,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,103.79,111.76,2026-08-19
EN.PA,Bouygues,BTP/Télécom,46.7,0.11,384503,549793.0,0.7,47.427,47.745,46.936,40.0,0.855,0.91,1.8,53.48,35.39,50.2,46.0,,4.0,,,False,8,20,4,7,3,4,7,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,45.42,48.84,2026-08-19
CAP.PA,Capgemini,Technologie,110.35,2.84,387873,673195.0,0.58,107.384,104.25,110.097,63.5,3.905,0.98,3.42,153.05,85.62,111.85,85.62,,,,,False,20,17,10,7,10,7,7,78,BON,Achat - position standard,vert clair,104.49,120.11,2026-08-19
CA.PA,Carrefour,Distribution,15.77,-0.79,1184590,2003048.0,0.59,15.794,15.901,15.446,45.5,0.284,0.78,1.31,17.53,11.94,16.91,15.22,,,,,False,12,20,4,8,8,4,7,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.34,16.48,2026-08-19
ACA.PA,Crédit Agricole,Banque,19.17,-2.59,5878135,4331276.0,1.36,19.689,19.336,17.44,51.2,0.326,1.04,1.59,20.4,15.29,20.4,18.0,,,,5.0,False,25,20,2,7,3,4,7,68,BON,Achat - position standard,vert clair,18.68,19.98,2026-08-19
BN.PA,Danone,Agroalimentaire,65.68,0.31,900391,1341964.0,0.67,66.745,67.935,69.408,36.6,1.326,0.91,1.71,80.14,60.64,72.72,64.84,,,,2.0,False,0,15,4,7,6,4,7,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,63.69,68.99,2026-08-19
DSY.PA,Dassault Systèmes,Technologie,22.24,1.55,1853109,2043479.0,0.91,21.635,20.984,21.267,64.9,0.688,0.95,2.82,30.36,15.82,22.43,17.56,,,,8.0,False,20,17,6,7,10,7,7,74,BON,Achat - position standard,vert clair,21.21,23.96,2026-08-19
EDEN.PA,Edenred,Services,29.06,3.09,413181,652725.0,0.63,28.361,27.738,22.882,65.4,0.765,0.93,2.33,29.5,15.23,29.5,25.16,,,,,False,25,10,10,7,6,7,7,72,BON,Achat - position standard,vert clair,27.91,30.97,2026-08-19
ENGI.PA,Engie,Énergie,25.36,-1.13,2081187,3235941.0,0.64,25.897,26.27,25.374,35.1,0.543,0.92,2.07,29.89,17.2,27.93,25.32,,,baissière,0.0,False,8,15,4,7,3,0,7,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,24.55,26.72,2026-08-19
