ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,166.78,-0.91,595566,705365.0,0.84,169.788,170.006,164.45,41.7,2.907,1.19,1.56,182.26,140.78,176.64,165.36,baissier,0.0,,,False,12,20,6,10,4,4,0,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,162.42,174.05,2026-09-10
AIR.PA,Airbus,Aéronautique,195.78,-0.29,775400,736975.0,1.05,198.711,201.549,190.599,38.2,4.464,1.03,2.01,221.3,157.42,216.55,193.18,,,,6.0,False,12,15,6,7,6,4,0,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,189.08,206.94,2026-09-10
ALO.PA,Alstom,Industrie,15.5,-2.21,1023297,1042059.0,0.98,16.024,16.112,18.929,41.1,0.465,1.14,2.93,30.23,14.72,17.06,15.42,,1.0,baissière,0.0,False,0,20,6,10,3,0,0,39,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.8,16.66,2026-09-10
MT.AS,ArcelorMittal,Matériaux,64.68,-2.62,1430472,1417084.0,1.01,65.274,64.223,52.215,54.8,2.124,1.04,3.03,68.56,28.84,68.56,59.34,,,,3.0,False,25,20,6,7,4,4,0,66,BON,Achat - position standard,vert clair,61.49,69.99,2026-09-10
CS.PA,AXA,Assurance,42.97,0.07,2249163,2468664.0,0.91,43.527,43.791,41.731,41.9,0.718,1.15,1.6,45.66,36.55,45.05,42.43,,,,9.0,False,12,20,6,10,3,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,41.89,44.76,2026-09-10
BNP.PA,BNP Paribas,Banque,102.64,-0.12,1596559,1726902.0,0.92,103.618,104.91,94.318,40.6,2.114,1.03,2.03,113.82,65.12,113.82,99.93,,,,9.0,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,99.47,107.92,2026-09-10
EN.PA,Bouygues,BTP/Télécom,43.85,-0.68,593236,663115.0,0.89,44.491,45.293,46.663,34.6,0.86,0.98,1.88,53.48,36.72,47.81,43.39,,,,9.0,False,0,15,6,7,3,4,0,35,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,42.56,46.0,2026-09-10
CAP.PA,Capgemini,Technologie,101.5,0.35,323790,451558.0,0.72,105.152,105.876,109.553,42.8,3.523,0.94,3.0,153.05,85.62,111.65,100.35,,1.0,,1.0,False,0,20,4,7,3,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,96.22,110.31,2026-09-10
CA.PA,Carrefour,Distribution,16.51,0.61,1680110,1578793.0,1.06,16.284,16.114,15.552,60.4,0.266,1.0,1.57,17.53,11.94,16.69,15.52,,5.0,,2.0,False,25,17,6,7,4,7,0,66,BON,Achat - position standard,vert clair,16.12,17.18,2026-09-10
ACA.PA,Crédit Agricole,Banque,18.54,0.27,3090244,4077140.0,0.76,18.671,18.824,17.622,42.9,0.295,0.97,1.44,20.4,15.37,20.4,18.18,,9.0,,9.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,18.1,19.28,2026-09-10
