ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,165.22,1.26,495736,816556.0,0.61,166.238,167.749,164.598,41.0,2.578,1.0,1.45,182.26,140.78,176.64,162.46,,7.0,,1.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,161.35,171.66,2026-09-21
AIR.PA,Airbus,Aéronautique,194.78,0.72,927996,937436.0,0.99,195.854,198.285,191.025,41.2,4.09,0.96,1.96,221.3,157.42,209.55,192.9,,,,,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,188.64,205.01,2026-09-21
ALO.PA,Alstom,Industrie,14.95,-2.13,1903061,1259337.0,1.51,15.568,15.814,18.685,35.4,0.432,1.02,2.51,30.23,14.72,17.06,14.77,,8.0,baissière,0.0,True,0,15,2,7,3,0,0,27,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,14.31,16.03,2026-09-21
MT.AS,ArcelorMittal,Matériaux,62.86,-0.41,1081859,1503497.0,0.72,64.093,64.123,53.149,46.2,2.006,0.98,3.1,68.56,30.18,68.56,61.92,baissier,0.0,,,False,12,20,8,7,3,4,0,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,59.85,67.88,2026-09-21
CS.PA,AXA,Assurance,44.84,0.25,1957271,3306275.0,0.59,44.253,44.056,41.927,57.9,0.713,1.05,1.48,45.66,36.55,45.2,42.43,,2.0,,2.0,False,25,17,4,7,8,7,0,68,BON,Achat - position standard,vert clair,43.77,46.62,2026-09-21
BNP.PA,BNP Paribas,Banque,101.1,0.36,1818247,2043012.0,0.89,102.313,103.469,94.949,40.5,2.11,1.01,1.77,113.82,65.12,107.62,99.8,,,,,False,12,20,6,7,3,4,0,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,97.93,106.38,2026-09-21
EN.PA,Bouygues,BTP/Télécom,43.49,0.25,552504,763383.0,0.72,44.035,44.589,46.462,37.4,0.812,0.97,1.69,53.48,36.72,46.42,43.22,,,,1.0,False,0,15,4,7,4,4,0,34,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,42.27,45.52,2026-09-21
CAP.PA,Capgemini,Technologie,105.5,1.1,546834,530090.0,1.03,105.808,105.967,109.279,49.7,3.659,1.01,3.18,153.05,85.62,111.45,100.35,,1.0,,8.0,False,0,20,6,7,6,4,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,100.01,114.65,2026-09-21
CA.PA,Carrefour,Distribution,16.43,0.0,1872942,1878758.0,1.0,16.525,16.365,15.631,53.2,0.282,1.06,1.68,17.53,12.47,16.96,15.52,,,,4.0,False,25,20,6,7,4,7,0,69,BON,Achat - position standard,vert clair,16.01,17.14,2026-09-21
ACA.PA,Crédit Agricole,Banque,18.21,0.11,3135746,4125735.0,0.76,18.422,18.598,17.684,39.0,0.305,1.02,1.54,20.4,15.37,19.22,18.11,,,,,False,12,15,4,7,3,4,0,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.75,18.97,2026-09-21
BN.PA,Danone,Agroalimentaire,60.26,-0.46,857766,1217224.0,0.7,61.53,62.942,68.202,29.9,1.03,0.97,1.47,80.14,60.02,66.28,60.02,,,,1.0,False,0,8,8,7,3,4,0,30,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,58.71,62.84,2026-09-21
DSY.PA,Dassault Systèmes,Technologie,20.9,1.65,1047476,1831087.0,0.57,20.846,21.103,21.303,47.5,0.639,1.0,3.0,30.36,15.82,23.18,19.9,,9.0,,8.0,False,8,20,4,7,6,4,0,49,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,19.94,22.5,2026-09-21
EDEN.PA,Edenred,Services,27.8,-2.04,446144,552166.0,0.81,28.635,28.847,24.251,41.3,0.708,1.01,2.42,30.85,15.23,30.85,27.89,,6.0,baissière,0.0,False,12,20,6,7,3,0,0,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,26.74,29.57,2026-09-21
ENGI.PA,Engie,Énergie,23.69,-1.41,4893843,6392783.0,0.77,23.974,24.305,25.153,37.5,0.52,0.99,2.04,29.89,17.78,25.43,23.37,,,,,False,0,15,8,7,4,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,22.91,24.99,2026-09-21
EL.PA,EssilorLuxottica,Santé/Optique,141.25,1.62,661008,821121.0,0.81,144.448,149.651,193.285,29.8,3.925,0.92,2.55,323.8,138.3,163.55,138.3,,,,1.0,False,0,8,6,7,6,4,0,31,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,135.36,151.06,2026-09-21
ERF.PA,Eurofins Scientific,Santé,78.06,2.12,308980,353574.0,0.87,74.826,73.356,66.487,73.3,1.649,1.1,2.37,78.54,54.86,78.54,68.38,,,haussière,0.0,False,25,3,6,10,8,7,0,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,75.59,82.18,2026-09-21
RMS.PA,Hermès,Luxe,1344.0,0.94,114211,134363.0,0.85,1386.121,1441.473,1734.917,28.8,39.816,0.97,2.63,2300.0,1298.5,1628.5,1298.5,,,,1.0,False,0,11,6,7,6,4,0,34,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,1284.28,1443.54,2026-09-21
KER.PA,Kering,Luxe,228.65,-1.87,373926,331924.0,1.13,236.183,242.288,256.501,35.1,7.585,0.96,2.86,354.2,225.1,257.5,225.45,,,baissière,0.0,False,0,15,6,7,3,0,0,31,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,217.27,247.61,2026-09-21
OR.PA,L'Oréal,Cosmétiques,383.8,2.06,189907,318032.0,0.6,381.192,382.072,376.617,51.4,7.699,1.01,1.94,405.8,338.85,394.0,372.95,,7.0,,,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,372.25,403.05,2026-09-21
LR.PA,Legrand,Industrie,138.85,2.25,495422,525128.0,0.94,137.165,137.514,138.167,52.0,3.892,1.03,2.47,166.95,121.95,146.3,131.85,,4.0,,9.0,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,133.01,148.58,2026-09-21
MC.PA,LVMH,Luxe,405.5,0.67,514255,566539.0,0.91,412.414,424.838,490.126,33.9,10.466,0.96,2.24,654.7,400.0,461.25,400.0,,,,1.0,False,0,18,6,7,6,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,389.8,431.67,2026-09-21
ML.PA,Michelin,Industrie,33.35,0.82,1055510,1519009.0,0.69,33.5,33.883,32.678,42.2,0.602,0.98,1.7,35.72,25.51,35.35,32.74,,8.0,,7.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,32.45,34.85,2026-09-21
ORA.PA,Orange,Télécom,15.02,-0.1,5722012,5413124.0,1.06,15.458,15.58,16.053,36.3,0.324,1.02,1.61,18.81,13.07,16.1,14.8,,,,,False,0,15,6,7,4,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.53,15.83,2026-09-21
RI.PA,Pernod Ricard,Boissons,59.64,0.34,560228,771578.0,0.73,60.381,61.9,69.731,34.4,1.406,0.86,1.82,90.34,58.6,68.84,58.9,,,,7.0,False,0,15,4,7,6,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,57.53,63.16,2026-09-21
PUB.PA,Publicis,Communication,97.42,-0.1,359694,645499.0,0.56,98.065,98.653,88.756,46.9,2.197,0.97,2.19,104.85,68.14,104.2,95.36,,7.0,,8.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,94.12,102.91,2026-09-21
RNO.PA,Renault,Automobile,27.07,-1.24,1312404,1681324.0,0.78,28.379,28.563,29.999,40.6,0.974,1.12,3.29,37.97,24.66,30.44,26.96,,1.0,,,False,0,20,8,10,3,4,0,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,25.61,29.51,2026-09-21
SAF.PA,Safran,Aéronautique,330.7,2.38,413755,474433.0,0.87,327.862,331.765,316.078,47.7,7.581,0.99,1.92,366.5,262.6,354.5,318.9,,,,8.0,False,12,20,6,7,10,4,0,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,319.33,349.65,2026-09-21
SGO.PA,Saint-Gobain,Matériaux,70.1,1.42,718085,1064835.0,0.67,70.881,73.432,79.646,32.2,1.702,0.93,2.01,95.6,65.88,83.14,68.26,,,,5.0,False,0,15,4,7,6,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,67.55,74.36,2026-09-21
SAN.PA,Sanofi,Santé,74.59,0.73,1469589,1791738.0,0.82,74.692,75.287,78.425,45.3,1.376,0.93,1.68,91.15,71.25,79.36,73.22,,,,6.0,False,0,20,6,7,6,4,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,72.53,78.03,2026-09-21
SU.PA,Schneider Electric,Industrie,295.0,3.24,706198,791298.0,0.89,286.941,288.601,268.52,54.5,8.03,1.09,2.42,312.3,220.4,303.8,268.5,,8.0,,5.0,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,282.96,315.07,2026-09-21
GLE.PA,Société Générale,Banque,73.87,1.76,1901291,2081530.0,0.91,73.657,74.417,70.383,45.9,1.921,1.06,2.17,84.82,51.98,76.45,70.29,,,,,False,12,20,6,7,8,4,0,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,70.99,78.67,2026-09-21
STLAP.PA,Stellantis,Automobile,4.23,0.75,3365064,4455918.0,0.76,4.411,4.521,6.186,38.0,0.172,0.95,3.39,10.49,4.16,4.87,4.16,,,,1.0,False,0,15,4,7,3,4,0,33,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,3.97,4.66,2026-09-21
