ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,170.32,-0.83,965815,786906.0,1.23,173.563,174.123,162.681,41.8,2.838,0.97,1.31,182.26,140.78,182.26,169.24,,1.0,,,False,12,20,2,7,3,4,10,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,166.06,177.42,2026-08-03
AIR.PA,Airbus,Aéronautique,208.0,1.96,1121553,1055197.0,1.06,205.655,201.826,185.812,59.9,5.293,1.03,2.03,221.3,157.42,213.35,190.9,,,,3.0,False,25,17,6,7,4,7,10,76,BON,Achat - position standard,vert clair,200.06,221.23,2026-08-03
ALO.PA,Alstom,Industrie,16.55,3.34,1512183,1324939.0,1.14,16.175,16.029,19.816,58.9,0.461,1.0,2.75,30.23,14.72,16.87,15.03,,7.0,,,False,3,17,6,7,8,7,10,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.85,17.7,2026-08-03
MT.AS,ArcelorMittal,Matériaux,61.82,3.72,1637021,1787145.0,0.92,59.109,58.136,48.418,63.9,2.238,1.03,3.54,62.96,26.72,62.96,53.6,,,haussière,0.0,False,25,17,6,7,8,7,10,80,EXCELLENT,Achat fort - position pleine,vert,58.46,67.42,2026-08-03
CS.PA,AXA,Assurance,44.63,-1.3,3101670,2375027.0,1.31,44.917,44.501,40.948,56.3,0.598,1.03,1.24,45.66,36.55,45.66,43.29,,,,3.0,False,25,17,2,7,3,4,10,68,BON,Achat - position standard,vert clair,43.73,46.12,2026-08-03
BNP.PA,BNP Paribas,Banque,111.78,2.7,1726832,1728847.0,1.0,107.44,105.014,90.161,70.5,2.427,1.14,2.2,111.78,65.12,111.78,97.31,,,haussière,0.0,False,25,3,6,10,8,7,10,69,BON,Achat - position standard,vert clair,108.14,117.85,2026-08-03
EN.PA,Bouygues,BTP/Télécom,49.28,-0.34,602700,684974.0,0.88,47.938,47.919,46.817,57.5,1.093,1.19,2.18,53.48,35.39,50.2,45.7,haussier,0.0,,1.0,False,25,17,6,10,8,7,10,83,EXCELLENT,Achat fort - position pleine,vert,47.64,52.01,2026-08-03
CAP.PA,Capgemini,Technologie,107.2,5.1,943390,767606.0,1.23,99.062,95.617,110.136,65.9,4.537,1.27,4.8,153.05,85.62,109.8,85.62,,3.0,,2.0,False,3,10,12,10,8,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,100.4,118.54,2026-08-03
CA.PA,Carrefour,Distribution,15.86,-1.12,1928833,2172192.0,0.89,16.072,16.21,15.413,43.8,0.399,1.07,2.09,17.53,11.94,16.91,15.22,,5.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,15.26,16.86,2026-08-03
ACA.PA,Crédit Agricole,Banque,19.44,3.51,5020020,4161167.0,1.21,18.594,18.202,17.118,74.0,0.334,1.15,1.55,19.52,15.29,19.52,16.97,,,haussière,0.0,False,25,3,12,10,8,10,10,78,BON,Achat - position standard,vert clair,18.94,20.28,2026-08-03
BN.PA,Danone,Agroalimentaire,67.8,-0.79,1326713,1348669.0,0.98,69.965,70.464,69.724,40.7,1.629,1.2,2.12,80.14,60.64,74.68,67.14,,1.0,baissière,0.0,False,3,20,6,10,3,0,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,65.36,71.87,2026-08-03
DSY.PA,Dassault Systèmes,Technologie,20.75,2.67,2897382,2057470.0,1.41,19.957,19.267,21.175,65.3,0.771,1.18,4.24,30.36,15.82,21.44,17.56,,5.0,,3.0,False,3,10,12,10,4,7,10,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,19.59,22.68,2026-08-03
EDEN.PA,Edenred,Services,28.34,0.35,589451,877462.0,0.67,27.5,26.244,22.202,71.1,0.86,1.05,3.2,28.97,15.23,28.97,23.04,,,,2.0,False,25,3,4,7,4,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,27.05,30.49,2026-08-03
