ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,173.16,1.6,694465,667848.0,1.04,171.095,170.559,164.371,57.2,2.8,1.16,1.47,182.26,140.78,176.64,165.36,,3.0,,,False,25,17,6,10,8,7,5,78,BON,Achat - position standard,vert clair,168.96,180.16,2026-09-08
AIR.PA,Airbus,Aéronautique,200.7,0.87,495626,717178.0,0.69,200.22,202.769,190.484,45.4,4.41,1.01,2.0,221.3,157.42,216.55,193.18,,,,4.0,False,12,20,4,7,6,4,5,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,194.09,211.72,2026-09-08
ALO.PA,Alstom,Industrie,16.32,-1.09,859141,1043119.0,0.82,16.231,16.211,19.0,51.8,0.447,1.1,2.62,30.23,14.72,17.06,15.54,,1.0,,,False,3,20,6,7,10,4,5,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.65,17.44,2026-09-08
MT.AS,ArcelorMittal,Matériaux,66.88,-0.54,1593393,1387426.0,1.15,65.174,63.938,51.949,66.5,2.122,1.05,3.31,68.56,28.84,68.56,59.34,,,,1.0,False,25,10,6,7,8,7,5,68,BON,Achat - position standard,vert clair,63.7,72.18,2026-09-08
CS.PA,AXA,Assurance,43.66,-2.2,2280858,2363274.0,0.97,43.848,43.976,41.706,46.9,0.729,1.2,1.63,45.66,36.55,45.05,42.43,,,,7.0,False,12,20,6,10,4,4,5,61,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,42.57,45.48,2026-09-08
BNP.PA,BNP Paribas,Banque,103.88,-0.63,1179960,1685264.0,0.7,104.138,105.401,94.151,44.1,2.077,1.02,2.07,113.82,65.12,113.82,99.93,,,,7.0,False,12,20,4,7,6,4,5,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,100.77,109.07,2026-09-08
EN.PA,Bouygues,BTP/Télécom,45.1,1.33,609643,636680.0,0.96,44.777,45.581,46.72,42.3,0.856,0.96,1.8,53.48,36.72,48.41,43.39,,,,7.0,False,0,20,6,7,6,4,5,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,43.82,47.24,2026-09-08
CAP.PA,Capgemini,Technologie,105.55,-0.8,594107,420642.0,1.41,107.293,106.883,109.66,49.1,3.549,0.94,3.02,153.05,85.62,111.65,103.85,,,,,False,3,20,12,7,3,4,5,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,100.23,114.42,2026-09-08
CA.PA,Carrefour,Distribution,16.66,1.52,1765935,1541912.0,1.15,16.18,16.035,15.533,65.5,0.268,0.99,1.51,17.53,11.94,16.69,15.52,,3.0,haussière,0.0,False,25,10,10,7,8,7,5,72,BON,Achat - position standard,vert clair,16.25,17.32,2026-09-08
ACA.PA,Crédit Agricole,Banque,18.67,-0.69,3433623,4281094.0,0.8,18.757,18.892,17.605,45.2,0.297,0.97,1.53,20.4,15.37,20.4,18.18,,7.0,,7.0,False,12,20,6,7,6,4,5,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,18.23,19.42,2026-09-08
