ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,170.44,-1.34,624292,666935.0,0.94,170.579,170.285,164.295,50.0,2.659,1.11,1.32,182.26,140.78,176.64,165.36,,2.0,,,False,25,20,6,10,4,4,5,74,BON,Achat - position standard,vert clair,166.45,177.09,2026-09-04
AIR.PA,Airbus,Aéronautique,198.96,0.99,686153,717613.0,0.96,200.1,202.987,190.405,41.8,4.364,0.99,1.99,221.3,157.42,216.55,193.18,,9.0,,3.0,False,12,20,6,7,6,4,5,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,192.41,209.87,2026-09-04
ALO.PA,Alstom,Industrie,16.5,2.01,1265059,1007203.0,1.26,16.208,16.2,19.029,54.6,0.442,1.09,2.52,30.23,14.72,17.06,15.54,haussier,0.0,,,False,18,20,12,7,6,7,5,75,BON,Achat - position standard,vert clair,15.84,17.6,2026-09-04
MT.AS,ArcelorMittal,Matériaux,67.24,2.41,2378796,1353102.0,1.76,64.747,63.628,51.798,68.6,2.117,1.05,3.4,68.42,28.62,68.42,59.34,,,haussière,0.0,True,25,10,15,7,8,10,5,80,EXCELLENT,Achat fort - position pleine,vert,64.06,72.53,2026-09-04
CS.PA,AXA,Assurance,44.64,0.97,3003923,2323852.0,1.29,43.895,44.01,41.684,55.8,0.682,1.13,1.59,45.66,36.55,45.05,42.43,,,,6.0,False,12,17,12,10,10,4,5,70,BON,Achat - position standard,vert clair,43.62,46.34,2026-09-04
BNP.PA,BNP Paribas,Banque,104.54,0.38,1547481,1674105.0,0.92,104.203,105.561,94.05,46.0,2.078,1.02,2.09,113.82,65.12,113.82,99.93,,9.0,,6.0,False,12,20,6,7,6,4,5,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,101.42,109.73,2026-09-04
EN.PA,Bouygues,BTP/Télécom,44.51,0.68,638297,623127.0,1.02,44.696,45.631,46.735,36.2,0.87,0.97,1.9,53.48,36.72,48.7,43.39,,,,6.0,False,0,15,6,7,6,4,5,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,43.21,46.68,2026-09-04
CAP.PA,Capgemini,Technologie,106.4,-3.27,611353,415020.0,1.47,107.729,107.023,109.718,50.7,3.626,0.95,3.13,153.05,85.62,111.65,104.05,,,,,False,3,20,2,7,3,4,5,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,100.96,115.46,2026-09-04
CA.PA,Carrefour,Distribution,16.41,0.46,1723457,1543142.0,1.12,16.061,15.97,15.52,61.0,0.259,0.94,1.43,17.53,11.94,16.47,15.52,,2.0,haussière,0.0,False,25,17,6,7,8,7,5,75,BON,Achat - position standard,vert clair,16.02,17.05,2026-09-04
ACA.PA,Crédit Agricole,Banque,18.81,-0.21,3322378,4244608.0,0.78,18.778,18.915,17.593,48.0,0.298,0.97,1.59,20.4,15.37,20.4,18.18,,6.0,,6.0,False,12,20,4,7,6,4,5,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,18.36,19.55,2026-09-04
BN.PA,Danone,Agroalimentaire,63.72,0.19,1119551,980091.0,1.14,64.506,65.616,68.929,31.8,0.983,0.81,1.13,80.14,60.64,68.4,63.18,,,,1.0,False,0,18,6,7,6,4,5,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,62.25,66.18,2026-09-04
DSY.PA,Dassault Systèmes,Technologie,21.02,-6.49,2817261,1592904.0,1.77,22.17,21.951,21.369,43.7,0.671,1.02,2.71,30.36,15.82,23.18,20.81,,,,6.0,True,25,20,2,7,3,4,5,66,BON,Achat - position standard,vert clair,20.01,22.7,2026-09-04
EDEN.PA,Edenred,Services,30.45,1.5,403839,459028.0,0.88,30.001,29.395,23.767,66.8,0.678,0.92,2.03,30.85,15.23,30.85,27.61,,,,6.0,False,25,10,6,7,6,7,5,66,BON,Achat - position standard,vert clair,29.43,32.15,2026-09-04
ENGI.PA,Engie,Énergie,24.01,0.92,3617856,3091527.0,1.17,24.385,25.0,25.29,32.9,0.552,1.0,2.07,29.89,17.75,26.82,23.4,,,,1.0,False,0,15,6,7,6,4,5,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,23.18,25.39,2026-09-04
EL.PA,EssilorLuxottica,Santé/Optique,149.8,-2.06,951221,642500.0,1.48,157.008,160.306,198.942,29.4,4.299,0.9,2.24,323.8,148.95,173.05,148.95,,,baissière,0.0,False,0,8,2,7,3,0,5,25,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,143.35,160.55,2026-09-04
ERF.PA,Eurofins Scientific,Santé,72.72,-1.01,167941,215320.0,0.78,72.581,71.793,65.669,57.9,1.466,1.05,2.04,74.78,54.86,74.78,68.62,,,,8.0,False,25,17,4,7,3,7,5,68,BON,Achat - position standard,vert clair,70.52,76.39,2026-09-04
RMS.PA,Hermès,Luxe,1457.0,-1.65,101087,118590.0,0.85,1527.448,1555.129,1775.327,33.5,41.72,0.92,2.32,2300.0,1454.5,1663.5,1454.5,,,baissière,0.0,False,0,15,6,7,3,0,5,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1394.42,1561.3,2026-09-04
KER.PA,Kering,Luxe,245.2,0.25,254090,281022.0,0.9,249.933,255.282,258.995,40.0,7.668,0.87,2.48,354.2,225.1,290.4,241.4,,,,,False,0,20,6,7,6,4,5,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,233.7,264.37,2026-09-04
OR.PA,L'Oréal,Cosmétiques,383.9,1.43,246490,281527.0,0.88,383.501,383.772,376.195,50.3,7.522,0.97,1.73,405.8,338.85,393.75,367.5,,1.0,,,False,12,20,6,7,6,4,5,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,372.62,402.71,2026-09-04
