ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,173.58,0.88,732470,841352.0,0.87,172.952,173.626,162.96,50.5,2.701,0.94,1.27,182.26,140.78,178.62,169.24,,4.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,169.53,180.33,2026-08-05
AIR.PA,Airbus,Aéronautique,214.95,0.4,883678,1098117.0,0.8,208.571,204.206,186.541,65.2,5.344,1.04,2.11,221.3,157.42,216.4,190.9,,,haussière,0.0,False,25,10,6,7,8,7,10,73,BON,Achat - position standard,vert clair,206.93,228.31,2026-08-05
ALO.PA,Alstom,Industrie,16.56,-1.69,1440674,1259008.0,1.14,16.357,16.157,19.718,57.4,0.446,0.98,2.65,30.23,14.72,16.96,15.03,,,,1.0,False,3,17,6,7,4,7,10,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.89,17.67,2026-08-05
MT.AS,ArcelorMittal,Matériaux,64.6,0.25,1946892,1772989.0,1.1,61.296,59.506,48.857,70.1,2.205,1.01,3.58,65.24,27.42,65.24,53.94,,,,1.0,False,25,3,10,7,8,7,10,70,BON,Achat - position standard,vert clair,61.29,70.11,2026-08-05
CS.PA,AXA,Assurance,44.67,0.09,1931094,2511894.0,0.77,44.816,44.56,41.06,56.5,0.602,1.04,1.29,45.66,36.55,45.66,43.63,,,,6.0,False,25,17,4,7,3,4,10,70,BON,Achat - position standard,vert clair,43.77,46.18,2026-08-05
BNP.PA,BNP Paribas,Banque,112.12,0.21,1306312,1782832.0,0.73,109.425,106.661,90.784,71.3,2.211,1.02,2.03,112.38,65.12,112.38,99.04,,,,1.0,False,25,3,4,7,4,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,108.8,117.65,2026-08-05
EN.PA,Bouygues,BTP/Télécom,48.81,-1.09,576401,674751.0,0.85,48.457,48.197,46.881,53.6,1.071,1.14,2.11,53.48,35.39,50.2,46.0,,2.0,,4.0,False,25,20,6,10,4,7,10,82,EXCELLENT,Achat fort - position pleine,vert,47.2,51.49,2026-08-05
CAP.PA,Capgemini,Technologie,109.0,1.49,729316,789845.0,0.92,102.944,98.478,110.024,68.0,4.324,1.16,4.42,153.05,85.62,110.25,85.62,,6.0,,5.0,False,8,10,6,10,4,7,10,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,102.51,119.81,2026-08-05
CA.PA,Carrefour,Distribution,15.9,1.02,1920115,2154205.0,0.89,15.963,16.117,15.426,45.1,0.37,1.0,2.05,17.53,11.94,16.91,15.22,,8.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,15.34,16.82,2026-08-05
ACA.PA,Crédit Agricole,Banque,19.35,-0.1,2955466,4378689.0,0.67,18.963,18.498,17.184,71.7,0.333,1.11,1.66,19.78,15.29,19.78,17.29,,,,3.0,False,25,3,8,10,4,7,10,67,BON,Achat - position standard,vert clair,18.85,20.19,2026-08-05
BN.PA,Danone,Agroalimentaire,68.0,-0.03,1258333,1388416.0,0.91,68.955,69.792,69.669,42.1,1.587,1.14,2.24,80.14,60.64,74.12,66.82,,4.0,,3.0,False,3,20,6,10,6,4,10,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,65.62,71.97,2026-08-05
DSY.PA,Dassault Systèmes,Technologie,21.39,0.38,1656194,2264189.0,0.73,20.49,19.712,21.167,68.5,0.759,1.13,4.06,30.36,15.82,21.74,17.56,,8.0,,6.0,False,20,10,4,10,4,7,10,65,BON,Achat - position standard,vert clair,20.25,23.29,2026-08-05
EDEN.PA,Edenred,Services,29.29,2.41,506924,862752.0,0.59,28.16,26.913,22.397,74.1,0.86,1.04,3.06,29.43,15.23,29.43,23.04,,,haussière,0.0,False,25,3,4,7,8,7,10,64,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,28.0,31.44,2026-08-05
ENGI.PA,Engie,Énergie,26.46,-1.34,2823896,2950806.0,0.96,26.727,26.862,25.301,45.0,0.677,1.23,2.49,29.89,17.2,27.93,25.94,,6.0,,5.0,False,12,20,6,10,3,4,10,65,BON,Achat - position standard,vert clair,25.44,28.15,2026-08-05
EL.PA,EssilorLuxottica,Santé/Optique,171.45,0.56,748115,687368.0,1.09,167.896,167.905,208.012,54.7,5.564,1.08,3.14,323.8,160.6,176.25,160.8,,,,,False,0,20,6,7,8,4,10,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.1,185.36,2026-08-05
