ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,178.52,1.01,654986,1014344.0,0.65,175.841,173.522,160.972,63.3,2.975,0.98,1.56,182.26,140.78,182.26,164.16,,,,7.0,False,25,17,4,7,10,7,10,80,EXCELLENT,Achat fort - position pleine,vert,174.06,185.96,2026-07-14
AIR.PA,Airbus,Aéronautique,195.94,0.34,700561,1182030.0,0.59,197.671,194.767,183.475,55.0,5.021,0.96,2.26,221.3,157.42,210.95,185.0,,,,6.0,False,25,20,4,7,3,4,10,73,BON,Achat - position standard,vert clair,188.41,208.49,2026-07-14
ALO.PA,Alstom,Industrie,15.25,-0.07,1183538,1814092.0,0.65,15.532,15.755,20.339,37.5,0.449,0.97,2.82,30.23,14.72,16.87,14.93,,,,,False,0,15,8,7,4,4,10,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.58,16.37,2026-07-14
MT.AS,ArcelorMittal,Matériaux,58.72,1.17,1634924,2170569.0,0.75,56.618,56.134,47.016,57.3,2.224,1.03,3.64,62.6,26.35,59.6,51.24,,1.0,,,False,25,17,4,7,8,7,10,78,BON,Achat - position standard,vert clair,55.38,64.28,2026-07-14
CS.PA,AXA,Assurance,44.31,-0.02,1755042,3233796.0,0.54,44.066,43.393,40.412,71.1,0.561,0.93,1.24,44.54,36.55,44.54,42.22,,,,5.0,False,25,3,4,7,3,7,10,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.47,45.71,2026-07-14
BNP.PA,BNP Paribas,Banque,102.32,1.39,1204889,1949547.0,0.62,101.165,100.314,88.003,59.1,2.06,1.02,1.81,103.6,65.12,103.6,97.31,,,,6.0,False,25,17,4,7,6,7,10,76,BON,Achat - position standard,vert clair,99.23,107.47,2026-07-14
EN.PA,Bouygues,BTP/Télécom,47.29,0.96,682409,920633.0,0.74,47.306,48.098,46.688,40.7,0.901,0.95,1.79,53.48,35.39,50.86,45.7,,,,4.0,False,12,20,4,7,6,4,10,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,45.94,49.54,2026-07-14
CAP.PA,Capgemini,Technologie,90.14,-1.62,614687,745279.0,0.82,90.704,91.876,112.333,43.8,3.381,0.92,3.16,153.05,86.2,98.94,86.2,,,,,False,0,20,6,7,4,4,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,85.07,98.59,2026-07-14
CA.PA,Carrefour,Distribution,16.64,0.15,1396883,2565840.0,0.54,16.418,16.334,15.299,55.8,0.354,0.95,1.79,17.53,11.94,16.72,15.24,,3.0,,,False,25,17,4,7,8,7,10,78,BON,Achat - position standard,vert clair,16.11,17.53,2026-07-14
ACA.PA,Crédit Agricole,Banque,17.83,1.6,4040807,5023781.0,0.8,17.579,17.465,16.954,60.4,0.301,1.0,1.51,19.15,15.29,17.94,16.97,,,,6.0,False,25,17,6,7,6,7,10,78,BON,Achat - position standard,vert clair,17.38,18.58,2026-07-14
BN.PA,Danone,Agroalimentaire,71.72,-0.66,924362,1689785.0,0.55,72.202,70.821,69.569,58.8,1.209,0.94,1.47,80.14,60.64,74.68,64.68,,,,8.0,False,25,17,8,7,3,7,10,77,BON,Achat - position standard,vert clair,69.91,74.74,2026-07-14
DSY.PA,Dassault Systèmes,Technologie,18.39,-1.45,1436453,1963595.0,0.73,18.324,18.277,21.449,50.7,0.622,0.97,3.05,33.16,15.82,18.94,16.8,,1.0,,,False,3,20,4,7,4,7,10,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,17.46,19.94,2026-07-14
EDEN.PA,Edenred,Services,24.88,1.22,794119,1171189.0,0.68,23.776,23.168,21.548,66.1,0.79,0.92,2.87,27.54,15.23,24.9,20.38,,,,,False,25,10,4,7,8,7,10,71,BON,Achat - position standard,vert clair,23.69,26.86,2026-07-14
ENGI.PA,Engie,Énergie,27.41,0.92,2361492,2786315.0,0.85,27.165,27.13,25.023,53.2,0.512,0.99,1.94,29.89,17.2,27.81,26.43,,1.0,,,False,25,20,6,7,10,7,10,85,EXCELLENT,Achat fort - position pleine,vert,26.64,28.69,2026-07-14
EL.PA,EssilorLuxottica,Santé/Optique,165.15,-2.51,483080,753316.0,0.64,169.939,171.266,215.126,40.8,5.268,0.97,2.82,323.8,160.6,184.0,160.6,,,,,False,0,20,8,7,3,4,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,157.25,178.32,2026-07-14
ERF.PA,Eurofins Scientific,Santé,69.0,-0.72,225880,272502.0,0.83,68.642,67.502,63.393,61.2,1.487,1.01,2.09,74.32,54.86,70.28,61.44,,,,,False,25,17,6,7,3,7,10,75,BON,Achat - position standard,vert clair,66.77,72.72,2026-07-14
RMS.PA,Hermès,Luxe,1644.5,-0.75,67741,84756.0,0.8,1634.096,1635.526,1861.944,51.1,49.818,0.91,2.48,2421.0,1529.0,1784.5,1564.0,,,,4.0,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,1569.77,1769.04,2026-07-14
KER.PA,Kering,Luxe,244.25,-2.44,209339,296597.0,0.71,248.768,252.191,258.431,43.2,8.964,0.91,3.09,354.2,194.44,277.1,238.75,,9.0,,4.0,False,0,20,4,7,6,4,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,230.8,266.66,2026-07-14
OR.PA,L'Oréal,Cosmétiques,378.8,-0.79,242392,444601.0,0.55,381.509,381.668,373.016,48.0,8.183,0.96,1.86,408.35,338.85,393.5,369.45,baissier,0.0,,,False,12,20,4,7,3,4,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,366.53,399.26,2026-07-14
LR.PA,Legrand,Industrie,142.0,1.97,824191,656951.0,1.25,141.936,143.217,138.814,46.7,4.043,0.95,2.39,166.95,121.95,155.25,136.8,,8.0,,,False,12,20,12,7,6,4,10,71,BON,Achat - position standard,vert clair,135.94,152.11,2026-07-14
MC.PA,LVMH,Luxe,482.95,-1.74,293665,559017.0,0.53,489.649,490.182,516.439,46.2,13.491,0.9,2.28,654.7,440.0,526.4,471.35,baissier,0.0,,,False,0,20,4,7,3,4,10,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,462.71,516.68,2026-07-14
ML.PA,Michelin,Industrie,34.18,-1.58,1412803,1611620.0,0.88,34.436,34.004,31.591,55.0,0.64,1.02,1.65,35.72,25.51,35.72,32.43,,,,8.0,False,25,17,6,7,3,4,10,72,BON,Achat - position standard,vert clair,33.22,35.78,2026-07-14
ORA.PA,Orange,Télécom,16.47,1.23,4261379,5109546.0,0.83,16.164,16.45,16.118,46.5,0.334,0.94,1.93,18.81,12.9,17.2,15.62,,,,6.0,False,12,20,10,7,8,4,10,71,BON,Achat - position standard,vert clair,15.97,17.3,2026-07-14
RI.PA,Pernod Ricard,Boissons,63.48,-1.15,516139,758135.0,0.68,63.977,63.949,72.842,48.2,1.816,1.05,2.74,107.45,58.6,67.06,61.24,,5.0,,,False,3,20,4,7,3,4,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,60.76,68.02,2026-07-14
PUB.PA,Publicis,Communication,86.94,-1.05,633509,690122.0,0.92,86.774,86.785,83.203,51.3,2.234,0.97,2.27,92.78,68.14,92.78,81.52,,9.0,,9.0,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,83.59,92.53,2026-07-14
RNO.PA,Renault,Automobile,25.84,-1.3,771655,1552324.0,0.5,25.915,26.289,31.217,44.2,0.859,0.89,2.78,37.97,24.66,28.14,24.66,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,24.55,27.99,2026-07-14
SAF.PA,Safran,Aéronautique,327.8,-0.7,476984,733287.0,0.65,336.993,333.774,301.565,48.7,9.129,0.97,2.31,360.8,262.6,360.8,322.1,,,,8.0,False,25,20,8,7,3,4,10,77,BON,Achat - position standard,vert clair,314.11,350.62,2026-07-14
SGO.PA,Saint-Gobain,Matériaux,74.62,-0.35,880953,1131137.0,0.78,76.281,77.135,81.131,42.0,2.159,0.95,2.58,104.65,65.88,82.42,73.66,,3.0,,,False,0,20,8,7,3,4,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,71.38,80.02,2026-07-14
SAN.PA,Sanofi,Santé,75.5,-2.08,1704061,2733172.0,0.62,75.752,75.417,79.83,50.3,1.792,0.99,2.22,91.15,71.25,77.49,71.25,,4.0,,,False,3,20,4,7,4,7,10,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,72.81,79.98,2026-07-14
SU.PA,Schneider Electric,Industrie,273.1,1.69,898158,967024.0,0.93,272.086,274.005,255.819,49.2,7.895,0.95,2.34,293.7,208.8,293.7,261.45,,5.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,261.26,292.84,2026-07-14
GLE.PA,Société Générale,Banque,75.28,0.86,1565328,1592907.0,0.98,75.034,75.103,66.337,51.8,2.032,1.04,2.33,79.07,49.01,79.07,71.2,,2.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,72.23,80.36,2026-07-14
STLAP.PA,Stellantis,Automobile,4.99,1.29,3073750,6810120.0,0.45,4.939,5.168,7.156,39.8,0.215,0.91,3.69,10.49,4.59,5.91,4.59,,,,3.0,False,0,15,0,7,8,4,10,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,4.67,5.53,2026-07-14
STMPA.PA,STMicroelectronics,Technologie,61.36,-0.32,2011675,2756783.0,0.73,61.726,62.254,40.676,48.9,3.13,0.95,4.31,70.85,18.2,70.85,57.92,,5.0,,5.0,False,12,20,8,7,6,4,10,67,BON,Achat - position standard,vert clair,56.66,69.19,2026-07-14
TEP.PA,Teleperformance,Services,53.44,-3.75,211531,350450.0,0.6,52.37,53.08,60.451,48.9,2.691,1.02,5.29,90.68,43.65,57.5,43.65,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,49.4,60.17,2026-07-14
HO.PA,Thales,Défense,220.0,-0.5,201666,300750.0,0.67,226.83,228.563,237.507,40.2,6.94,1.02,3.09,279.3,212.6,248.5,212.6,,1.0,,8.0,False,0,20,8,7,3,4,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,209.59,237.35,2026-07-14
TTE.PA,TotalEnergies,Énergie,71.2,1.11,3187988,4474897.0,0.71,69.282,69.972,67.42,52.1,1.507,0.93,1.64,81.34,49.24,72.92,65.75,,,,9.0,False,12,20,10,7,8,4,10,71,BON,Achat - position standard,vert clair,68.94,74.97,2026-07-14
URW.PA,Unibail-Rodamco-Westfield,Immobilier,102.55,0.34,138811,288946.0,0.48,102.257,101.716,95.965,55.3,1.579,0.97,1.35,106.65,80.22,103.65,97.76,,,,,False,25,17,0,7,3,7,10,69,BON,Achat - position standard,vert clair,100.18,106.5,2026-07-14
VIE.PA,Veolia,Environnement,37.46,1.38,1333083,1999896.0,0.67,36.789,36.401,33.163,63.0,0.622,1.05,1.8,37.66,27.43,37.66,34.91,,,,7.0,False,25,17,4,7,10,7,10,80,EXCELLENT,Achat fort - position pleine,vert,36.53,39.01,2026-07-14
DG.PA,Vinci,BTP,119.4,0.04,578281,1025235.0,0.56,121.551,123.842,125.047,37.0,2.494,0.99,2.06,143.15,112.4,132.2,117.7,,6.0,,4.0,False,0,15,4,7,6,4,10,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,115.66,125.64,2026-07-14
VIV.PA,Vivendi,Médias,1.92,-2.49,1447697,2417252.0,0.6,2.026,2.097,2.446,31.0,0.09,1.2,4.74,3.58,1.65,2.33,1.77,,4.0,,4.0,False,0,15,4,10,3,4,10,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1.78,2.14,2026-07-14
ATO.PA,Atos,Technologie,32.62,-1.15,74508,101951.0,0.73,33.297,34.034,51.809,37.3,1.325,0.79,3.07,63.24,26.73,37.64,32.1,,,,,False,0,15,8,8,4,4,10,49,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,30.63,35.93,2026-07-14
SOI.PA,Soitec,Semi-conducteurs,102.75,5.0,375594,381924.0,0.98,104.64,112.868,84.194,41.5,10.904,0.84,7.81,200.5,22.62,132.5,92.74,,,,5.0,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,86.39,130.01,2026-07-14
NANO.PA,Nanobiotix,Biotech,36.2,3.61,141510,111410.0,1.27,34.433,33.374,24.914,62.8,2.295,1.06,6.61,47.66,4.15,37.46,28.94,,8.0,,7.0,False,25,17,12,7,8,7,10,86,EXCELLENT,Achat fort - position pleine,vert,32.76,41.94,2026-07-14
ADOC.PA,Adocia,Biotech,3.86,3.16,117291,162936.0,0.72,3.93,4.064,5.488,41.7,0.229,0.94,5.15,12.4,3.61,4.53,3.61,,,,4.0,False,0,20,4,7,6,4,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,3.51,4.43,2026-07-14
BVI.PA,Bureau Veritas,Services,27.19,-0.91,809275,977096.0,0.83,27.067,26.735,26.97,59.4,0.489,0.94,1.65,29.76,24.58,27.58,25.28,,,,,False,20,17,6,7,4,7,10,71,BON,Achat - position standard,vert clair,26.46,28.41,2026-07-14
CO.PA,Casino Guichard,Distribution,0.18,-3.09,534523,443708.0,1.2,0.199,0.207,0.313,26.6,0.011,0.94,4.8,0.76,0.15,0.23,0.18,,,baissière,0.0,False,0,8,2,7,3,0,10,30,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,0.17,0.21,2026-07-14
COFA.PA,Coface,Assurance,16.03,1.65,215814,179291.0,1.2,15.551,15.386,15.493,70.2,0.236,0.99,1.31,16.99,14.02,16.05,14.9,,5.0,haussière,0.0,False,20,3,12,7,8,10,10,70,BON,Achat - position standard,vert clair,15.68,16.62,2026-07-14
GET.PA,Getlink,Transport,18.63,0.11,649843,908853.0,0.72,18.574,18.571,17.649,51.6,0.291,1.01,1.59,19.85,15.02,19.06,18.15,haussier,0.0,,,False,25,20,4,7,10,4,10,80,EXCELLENT,Achat fort - position pleine,vert,18.19,19.36,2026-07-14
