ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,170.34,-0.78,492356,744508.0,0.66,172.118,173.024,163.313,42.3,2.499,0.9,1.25,182.26,140.78,178.12,169.24,,8.0,,,False,12,20,4,7,3,4,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,166.59,176.59,2026-08-12
AIR.PA,Airbus,Aéronautique,213.65,0.54,766729,1010678.0,0.76,211.923,207.779,187.716,61.7,4.657,0.92,1.81,221.3,157.42,217.05,190.9,,,,5.0,False,25,17,4,7,4,7,10,74,BON,Achat - position standard,vert clair,206.66,225.29,2026-08-12
ALO.PA,Alstom,Industrie,16.2,-1.1,873851,1188866.0,0.74,16.4,16.271,19.596,49.3,0.44,0.97,2.61,30.23,14.72,17.05,15.03,,,,,False,3,20,4,7,4,4,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.54,17.3,2026-08-12
MT.AS,ArcelorMittal,Matériaux,64.18,0.0,1231015,1668415.0,0.74,63.014,61.116,49.482,65.4,1.969,0.92,3.03,65.24,27.42,65.24,56.14,,,,6.0,False,25,10,4,7,4,7,10,67,BON,Achat - position standard,vert clair,61.23,69.1,2026-08-12
CS.PA,AXA,Assurance,44.73,-0.22,1627532,2362106.0,0.69,44.858,44.673,41.216,55.2,0.564,0.98,1.16,45.66,36.55,45.66,43.63,,,,,False,25,17,8,7,3,4,10,74,BON,Achat - position standard,vert clair,43.88,46.14,2026-08-12
BNP.PA,BNP Paribas,Banque,112.0,0.25,1278669,1677641.0,0.76,111.197,108.641,91.656,67.5,2.021,0.92,1.74,113.62,65.12,113.62,100.44,,,,4.0,False,25,10,4,7,4,7,10,67,BON,Achat - position standard,vert clair,108.97,117.05,2026-08-12
EN.PA,Bouygues,BTP/Télécom,47.65,0.53,464642,604570.0,0.77,48.137,48.131,46.929,46.2,0.947,1.0,2.06,53.48,35.39,50.2,46.0,,7.0,,8.0,False,25,20,4,7,4,4,10,74,BON,Achat - position standard,vert clair,46.23,50.02,2026-08-12
CAP.PA,Capgemini,Technologie,105.65,-3.52,370850,748812.0,0.5,106.16,101.954,110.014,58.8,4.119,1.06,4.26,153.05,85.62,111.85,85.62,,,,9.0,False,3,17,4,7,4,7,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,99.47,115.95,2026-08-12
CA.PA,Carrefour,Distribution,15.76,0.45,1503977,2137039.0,0.7,15.828,15.99,15.438,43.5,0.324,0.88,1.89,17.53,11.94,16.91,15.22,,,,,False,12,20,4,7,6,4,10,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.27,16.57,2026-08-12
ACA.PA,Crédit Agricole,Banque,20.17,0.75,4982559,4126115.0,1.21,19.574,18.988,17.295,79.3,0.31,1.03,1.51,20.14,15.29,20.14,17.58,,,haussière,0.0,False,25,3,12,7,4,10,10,71,BON,Achat - position standard,vert clair,19.71,20.94,2026-08-12
BN.PA,Danone,Agroalimentaire,67.02,-0.42,1065438,1322138.0,0.81,68.141,69.096,69.593,37.9,1.352,0.95,1.92,80.14,60.64,74.12,66.74,,8.0,baissière,0.0,False,0,15,6,7,6,0,10,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,64.99,70.4,2026-08-12
