ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,167.32,1.27,521863,814755.0,0.64,166.455,167.709,164.625,47.4,2.557,0.99,1.41,182.26,140.78,176.64,162.46,,8.0,,2.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.48,173.71,2026-09-22
AIR.PA,Airbus,Aéronautique,194.6,-0.09,1065052,958169.0,1.11,195.603,197.934,191.06,40.9,4.124,0.97,1.96,221.3,157.42,209.55,192.88,,,,,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,188.41,204.91,2026-09-22
ALO.PA,Alstom,Industrie,15.27,2.11,1538964,1311048.0,1.17,15.508,15.762,18.651,41.2,0.429,1.0,2.55,30.23,14.72,17.06,14.77,,9.0,,1.0,False,0,20,6,7,6,4,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.63,16.34,2026-09-22
MT.AS,ArcelorMittal,Matériaux,63.82,1.53,1189858,1496314.0,0.8,64.038,64.094,53.255,50.0,2.04,1.0,3.07,68.56,30.18,68.56,61.92,,1.0,,,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,60.76,68.92,2026-09-22
CS.PA,AXA,Assurance,43.91,-2.07,2988866,3323674.0,0.9,44.185,44.042,41.947,48.9,0.729,1.06,1.52,45.66,36.55,45.2,42.43,,3.0,,3.0,False,25,20,6,7,4,4,0,66,BON,Achat - position standard,vert clair,42.82,45.73,2026-09-22
BNP.PA,BNP Paribas,Banque,101.3,0.2,1736220,2059239.0,0.84,102.11,103.263,95.012,41.2,2.161,1.03,1.85,113.82,65.12,106.42,99.8,,,,,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,98.06,106.7,2026-09-22
EN.PA,Bouygues,BTP/Télécom,43.61,0.28,627117,763196.0,0.82,43.95,44.496,46.433,38.6,0.811,0.97,1.67,53.48,36.72,46.42,43.22,,,,2.0,False,0,15,6,7,4,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,42.39,45.64,2026-09-22
CAP.PA,Capgemini,Technologie,106.3,0.76,561216,543160.0,1.03,105.906,105.998,109.25,51.1,3.637,1.01,3.23,153.05,85.62,111.45,100.35,,2.0,,9.0,False,0,20,6,7,6,4,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,100.84,115.39,2026-09-22
CA.PA,Carrefour,Distribution,16.4,-0.21,2285034,1897957.0,1.2,16.5,16.368,15.639,52.3,0.277,1.04,1.65,17.53,12.57,16.96,15.52,,,,5.0,False,25,20,2,7,4,7,0,65,BON,Achat - position standard,vert clair,15.98,17.09,2026-09-22
ACA.PA,Crédit Agricole,Banque,18.11,-0.52,4218372,4142391.0,1.02,18.361,18.552,17.688,37.2,0.311,1.04,1.6,20.4,15.37,19.18,18.05,,,,,False,12,15,6,7,3,4,0,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.65,18.89,2026-09-22
BN.PA,Danone,Agroalimentaire,60.9,1.06,977416,1219554.0,0.8,61.404,62.747,68.129,34.8,1.025,0.97,1.5,80.14,60.02,65.72,60.02,,,,2.0,False,0,15,6,7,6,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,59.36,63.46,2026-09-22
DSY.PA,Dassault Systèmes,Technologie,20.98,0.38,1512037,1805017.0,0.84,20.873,21.091,21.3,48.5,0.636,0.99,3.03,30.36,15.82,23.18,19.9,,,,9.0,False,8,20,6,7,6,4,0,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,20.03,22.57,2026-09-22
EDEN.PA,Edenred,Services,27.99,0.68,396380,557868.0,0.71,28.506,28.765,24.288,43.3,0.732,1.04,2.58,30.85,15.23,30.85,27.44,,7.0,,1.0,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,26.89,29.82,2026-09-22
ENGI.PA,Engie,Énergie,23.8,0.46,7638496,6524163.0,1.17,23.939,24.257,25.14,39.4,0.518,0.99,1.96,29.89,17.78,25.36,23.37,,,,,False,0,15,6,7,4,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,23.02,25.1,2026-09-22
EL.PA,EssilorLuxottica,Santé/Optique,144.5,2.3,752256,835753.0,0.9,144.458,149.16,192.799,37.3,3.977,0.94,2.65,323.8,138.3,163.45,138.3,,,,2.0,False,0,15,6,7,6,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,138.53,154.44,2026-09-22
ERF.PA,Eurofins Scientific,Santé,78.96,1.15,340282,361982.0,0.94,75.653,73.89,66.611,75.3,1.71,1.13,2.35,79.22,54.86,79.22,68.38,,,haussière,0.0,False,25,3,6,10,8,7,0,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,76.4,83.23,2026-09-22
RMS.PA,Hermès,Luxe,1355.0,0.82,102805,136800.0,0.75,1379.897,1433.238,1731.136,31.4,39.972,0.98,2.73,2300.0,1298.5,1628.5,1298.5,,,,2.0,False,0,15,4,7,6,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1295.04,1454.93,2026-09-22
KER.PA,Kering,Luxe,232.0,1.47,415674,343064.0,1.21,235.346,241.308,256.258,38.8,7.754,0.98,2.93,354.2,225.1,257.5,225.45,,,,1.0,False,0,15,12,7,6,4,0,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,220.37,251.39,2026-09-22
OR.PA,L'Oréal,Cosmétiques,389.5,1.49,296924,315627.0,0.94,382.854,382.779,376.745,56.0,7.803,1.02,2.01,405.8,338.85,394.0,372.95,haussier,0.0,,,False,25,17,6,7,10,7,0,72,BON,Achat - position standard,vert clair,377.8,409.01,2026-09-22
LR.PA,Legrand,Industrie,140.45,1.15,471165,533026.0,0.88,137.822,137.794,138.19,54.4,3.825,1.01,2.51,166.95,121.95,146.3,131.85,haussier,0.0,,,False,20,20,6,7,10,4,0,67,BON,Achat - position standard,vert clair,134.71,150.01,2026-09-22
MC.PA,LVMH,Luxe,401.95,-0.88,676465,571815.0,1.18,410.321,422.658,489.249,32.5,10.326,0.95,2.24,654.7,400.0,461.15,400.0,,,,2.0,False,0,15,6,7,6,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,386.46,427.76,2026-09-22
ML.PA,Michelin,Industrie,33.98,1.89,1470988,1519671.0,0.97,33.596,33.892,32.691,49.7,0.613,0.99,1.75,35.72,25.51,35.35,32.74,,9.0,,8.0,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,33.06,35.51,2026-09-22
