ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,168.12,-0.04,484970,824305.0,0.59,167.064,167.788,164.707,49.6,2.517,0.96,1.44,182.26,140.78,176.64,162.46,,,,4.0,False,12,20,4,7,10,4,0,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,164.34,174.41,2026-09-24
AIR.PA,Airbus,Aéronautique,194.38,-0.33,921803,980136.0,0.94,195.265,197.344,191.144,40.7,4.212,0.99,1.94,221.3,157.42,205.2,190.92,,,,,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,188.06,204.91,2026-09-24
ALO.PA,Alstom,Industrie,14.54,-1.96,1427727,1329320.0,1.07,15.206,15.566,18.574,33.5,0.441,1.02,2.62,30.23,14.51,17.06,14.51,,,baissière,0.0,False,0,15,6,7,3,0,0,31,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,13.88,15.64,2026-09-24
MT.AS,ArcelorMittal,Matériaux,62.0,-2.18,1183522,1460553.0,0.81,63.525,63.833,53.448,43.3,1.974,0.97,2.92,68.56,30.18,68.56,61.92,,3.0,,,False,12,20,6,7,3,4,0,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,59.04,66.93,2026-09-24
CS.PA,AXA,Assurance,43.97,1.76,3314186,3402904.0,0.97,43.986,43.964,41.98,50.0,0.771,1.1,1.64,45.66,36.55,45.2,42.74,,5.0,,5.0,False,25,20,6,7,4,4,0,66,BON,Achat - position standard,vert clair,42.81,45.9,2026-09-24
BNP.PA,BNP Paribas,Banque,98.43,-1.77,3489947,2085009.0,1.67,101.069,102.538,95.1,34.0,2.383,1.13,2.05,113.82,65.12,104.8,95.55,,,baissière,0.0,True,12,15,15,10,3,0,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,94.86,104.39,2026-09-24
EN.PA,Bouygues,BTP/Télécom,43.0,-0.58,465540,766401.0,0.61,43.648,44.246,46.369,34.7,0.771,0.93,1.58,53.48,36.72,45.23,42.84,,,baissière,0.0,False,0,15,8,7,4,0,0,34,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,41.84,44.93,2026-09-24
CAP.PA,Capgemini,Technologie,103.75,-2.21,366293,546371.0,0.67,105.506,105.793,109.169,46.4,3.514,0.98,3.01,153.05,85.62,111.45,100.35,,4.0,,,False,0,20,8,7,3,4,0,42,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,98.48,112.54,2026-09-24
CA.PA,Carrefour,Distribution,16.14,-0.15,1738776,1954470.0,0.89,16.374,16.329,15.651,46.3,0.281,1.04,1.7,17.53,12.57,16.96,15.52,,,,7.0,False,25,20,6,7,3,4,0,65,BON,Achat - position standard,vert clair,15.72,16.84,2026-09-24
ACA.PA,Crédit Agricole,Banque,17.94,-0.53,3431869,4176454.0,0.82,18.224,18.449,17.695,34.0,0.313,1.04,1.64,20.4,15.37,18.98,17.72,,,baissière,0.0,False,12,15,6,7,3,0,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.47,18.72,2026-09-24
BN.PA,Danone,Agroalimentaire,60.14,-0.3,1216817,1227903.0,0.99,60.978,62.29,67.976,31.9,1.007,0.96,1.55,80.14,60.0,65.53,60.0,,,,4.0,False,0,18,6,7,6,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,58.63,62.66,2026-09-24
DSY.PA,Dassault Systèmes,Technologie,21.17,-0.19,1754811,1741580.0,1.01,20.986,21.109,21.294,50.7,0.611,0.96,2.65,30.36,15.82,23.18,19.9,,,,,False,8,20,6,7,6,4,0,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,20.25,22.7,2026-09-24
EDEN.PA,Edenred,Services,27.43,-0.9,286736,542043.0,0.53,28.159,28.544,24.354,39.0,0.709,1.0,2.52,30.85,15.23,30.85,27.3,,9.0,baissière,0.0,False,12,15,8,7,3,0,0,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,26.37,29.2,2026-09-24
ENGI.PA,Engie,Énergie,23.42,-0.93,4237830,6833015.0,0.62,23.787,24.124,25.108,35.2,0.496,0.95,1.84,29.89,17.78,24.93,23.3,,,,,False,0,18,8,7,4,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,22.68,24.66,2026-09-24
EL.PA,EssilorLuxottica,Santé/Optique,144.7,-3.5,1110189,873240.0,1.27,145.385,148.803,191.914,40.7,4.283,1.02,2.77,323.8,138.3,163.45,138.3,,,,4.0,False,0,20,2,7,8,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,138.27,155.41,2026-09-24
ERF.PA,Eurofins Scientific,Santé,77.72,2.05,240165,375419.0,0.64,76.147,74.45,66.819,64.6,1.858,1.2,2.54,79.22,54.86,79.22,68.38,,,,2.0,False,25,17,4,10,4,7,0,67,BON,Achat - position standard,vert clair,74.93,82.37,2026-09-24
RMS.PA,Hermès,Luxe,1354.5,0.37,92522,138744.0,0.67,1369.954,1418.524,1724.079,32.1,38.708,0.96,2.63,2300.0,1298.5,1628.5,1298.5,,,,4.0,False,0,15,4,7,6,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1296.44,1451.27,2026-09-24
KER.PA,Kering,Luxe,225.75,-0.68,289683,351024.0,0.83,232.14,238.619,255.711,34.7,7.476,0.96,2.94,354.2,224.9,257.5,224.9,,,,3.0,False,0,15,6,7,3,4,0,35,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,214.54,244.44,2026-09-24
OR.PA,L'Oréal,Cosmétiques,384.65,1.09,332010,328258.0,1.01,382.836,382.761,376.954,51.6,7.792,1.01,2.01,405.8,338.85,394.0,372.95,haussier,0.0,,,False,25,20,6,7,8,4,0,70,BON,Achat - position standard,vert clair,372.96,404.13,2026-09-24
LR.PA,Legrand,Industrie,134.6,-2.57,502379,542048.0,0.93,137.23,137.52,138.152,45.1,3.895,1.01,2.59,166.95,121.95,146.3,131.85,baissier,0.0,,,False,0,20,6,7,3,4,0,40,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,128.76,144.34,2026-09-24
MC.PA,LVMH,Luxe,397.1,0.05,667597,606622.0,1.1,405.529,418.004,487.537,30.7,10.198,0.94,2.28,654.7,395.65,461.15,395.65,,,,1.0,False,0,18,6,7,6,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,381.8,422.6,2026-09-24
ML.PA,Michelin,Industrie,33.5,-0.45,1954170,1541103.0,1.27,33.585,33.834,32.708,44.8,0.634,1.02,1.84,35.72,25.51,35.27,32.74,,,,,False,12,20,2,7,6,4,0,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,32.55,35.08,2026-09-24
ORA.PA,Orange,Télécom,14.02,-0.32,5480664,5983221.0,0.92,14.809,15.208,15.997,25.4,0.35,1.08,1.95,18.81,13.07,16.1,13.94,,,,1.0,False,0,8,6,7,3,4,0,28,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,13.49,14.89,2026-09-24
RI.PA,Pernod Ricard,Boissons,59.58,-0.03,542098,775950.0,0.7,60.129,61.383,69.453,36.7,1.343,0.84,1.79,90.34,58.6,65.36,58.9,,,,,False,0,15,8,7,8,4,0,42,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,57.57,62.94,2026-09-24
PUB.PA,Publicis,Communication,97.66,0.12,379807,645044.0,0.59,97.825,98.371,89.004,47.7,2.079,0.92,1.93,104.85,68.14,104.0,95.36,,,,,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,94.54,102.86,2026-09-24
RNO.PA,Renault,Automobile,26.15,-1.69,1467672,1716406.0,0.86,27.505,28.062,29.903,36.4,0.942,1.05,3.1,37.97,24.66,30.44,25.97,,4.0,baissière,0.0,False,0,15,6,7,3,0,0,31,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,24.74,28.5,2026-09-24
SAF.PA,Safran,Aéronautique,334.3,-0.51,434337,481374.0,0.9,330.981,332.39,316.63,50.6,7.739,1.02,2.12,366.5,262.6,347.9,318.9,,,,,False,12,20,6,7,8,4,0,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,322.69,353.65,2026-09-24
SGO.PA,Saint-Gobain,Matériaux,69.82,-1.16,663523,1077943.0,0.62,70.673,72.675,79.374,33.9,1.677,0.93,2.16,95.6,65.88,80.72,68.26,,,,8.0,False,0,15,8,7,10,4,0,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,67.3,74.01,2026-09-24
SAN.PA,Sanofi,Santé,72.1,-1.38,2174116,1892825.0,1.15,73.882,74.726,78.274,35.4,1.399,0.97,1.72,91.15,71.25,78.15,72.1,,,baissière,0.0,False,0,15,6,7,3,0,0,31,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,70.0,75.6,2026-09-24
SU.PA,Schneider Electric,Industrie,289.8,-1.21,798472,797022.0,1.0,289.57,289.623,269.245,50.1,7.635,1.03,2.47,312.3,220.4,303.8,268.5,,,,8.0,False,12,20,6,7,4,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,278.35,308.89,2026-09-24
GLE.PA,Société Générale,Banque,69.87,-3.29,3122772,2160003.0,1.45,72.486,73.623,70.417,34.1,1.987,1.08,2.36,84.82,51.98,76.12,69.62,,,baissière,0.0,False,8,15,2,7,3,0,0,35,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,66.89,74.84,2026-09-24
STLAP.PA,Stellantis,Automobile,3.97,-4.14,5566322,4145925.0,1.34,4.256,4.413,6.126,31.5,0.167,0.94,3.42,10.49,3.97,4.87,3.97,,,baissière,0.0,False,0,15,2,7,3,0,0,27,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,3.72,4.39,2026-09-24
