ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,168.18,0.51,578603,817884.0,0.71,166.8,167.753,164.66,49.8,2.499,0.96,1.42,182.26,140.78,176.64,162.46,,9.0,,3.0,False,12,20,10,7,6,4,0,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,164.43,174.43,2026-09-23
AIR.PA,Airbus,Aéronautique,195.02,0.22,1024476,969762.0,1.06,195.486,197.656,191.1,41.9,4.184,0.99,1.97,221.3,157.42,206.85,192.64,,,,,False,12,20,6,7,6,4,0,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,188.74,205.48,2026-09-23
ALO.PA,Alstom,Industrie,14.83,-2.88,1420323,1349340.0,1.05,15.373,15.674,18.613,36.3,0.45,1.04,2.61,30.23,14.72,17.06,14.77,,,,2.0,False,0,15,6,7,3,4,0,35,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.16,15.95,2026-09-23
MT.AS,ArcelorMittal,Matériaux,63.38,-0.69,1032597,1499333.0,0.69,63.906,64.026,53.356,48.3,1.99,0.98,3.05,68.56,30.18,68.56,61.92,,2.0,,,False,12,20,4,7,6,4,0,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,60.39,68.36,2026-09-23
CS.PA,AXA,Assurance,43.21,-1.59,2866041,3354758.0,0.85,43.99,43.963,41.959,43.5,0.754,1.08,1.57,45.66,36.55,45.2,42.43,,4.0,,4.0,False,25,20,6,7,4,4,0,66,BON,Achat - position standard,vert clair,42.08,45.09,2026-09-23
BNP.PA,BNP Paribas,Banque,100.2,-1.09,1925555,2052733.0,0.94,101.728,102.971,95.064,38.2,2.208,1.05,1.96,113.82,65.12,106.08,99.8,,,,,False,12,15,6,7,3,4,0,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,96.89,105.72,2026-09-23
EN.PA,Bouygues,BTP/Télécom,43.25,-0.83,534141,769068.0,0.69,43.81,44.377,46.402,36.3,0.798,0.95,1.64,53.48,36.72,45.74,43.11,,,,3.0,False,0,18,4,7,4,4,0,37,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,42.05,45.24,2026-09-23
CAP.PA,Capgemini,Technologie,106.1,-0.19,220590,557405.0,0.4,105.945,106.008,109.218,50.7,3.581,0.99,3.11,153.05,85.62,111.45,100.35,,3.0,,,False,0,20,4,7,6,4,0,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,100.73,115.05,2026-09-23
CA.PA,Carrefour,Distribution,16.17,-1.43,1327228,1959316.0,0.68,16.433,16.349,15.644,46.8,0.28,1.04,1.67,17.53,12.57,16.96,15.52,,,,6.0,False,25,20,8,7,3,4,0,67,BON,Achat - position standard,vert clair,15.75,16.86,2026-09-23
ACA.PA,Crédit Agricole,Banque,18.03,-0.44,3738625,4129013.0,0.91,18.296,18.503,17.692,35.8,0.312,1.04,1.58,20.4,15.37,19.05,18.03,,,baissière,0.0,False,12,15,6,7,3,0,0,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.57,18.82,2026-09-23
BN.PA,Danone,Agroalimentaire,60.32,-0.95,1034479,1222097.0,0.85,61.187,62.516,68.052,32.5,1.028,0.98,1.55,80.14,60.02,65.53,60.02,,,,3.0,False,0,15,6,7,6,4,0,38,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,58.78,62.89,2026-09-23
DSY.PA,Dassault Systèmes,Technologie,21.21,1.1,1247021,1779079.0,0.7,20.94,21.103,21.299,51.2,0.617,0.96,2.96,30.36,15.82,23.18,19.9,,,,,False,8,20,4,7,6,4,0,49,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,20.28,22.75,2026-09-23
EDEN.PA,Edenred,Services,27.68,-1.11,340198,554425.0,0.61,28.341,28.662,24.322,40.8,0.73,1.03,2.55,30.85,15.23,30.85,27.44,,8.0,,2.0,False,12,20,4,7,3,4,0,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,26.59,29.5,2026-09-23
ENGI.PA,Engie,Énergie,23.64,-0.67,3794053,6770729.0,0.56,23.879,24.199,25.125,37.6,0.508,0.97,1.89,29.89,17.78,25.01,23.37,,,,,False,0,15,4,7,4,4,0,34,DEFAVORABLE,Ne pas acheter - conditions non réunies,rouge,22.88,24.91,2026-09-23
EL.PA,EssilorLuxottica,Santé/Optique,149.95,3.77,1292154,835894.0,1.55,145.557,149.235,192.373,47.5,4.082,0.97,2.63,323.8,138.3,163.45,138.3,,,,3.0,True,0,20,15,7,10,4,0,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,143.83,160.16,2026-09-23
ERF.PA,Eurofins Scientific,Santé,76.16,-3.55,263405,372313.0,0.71,75.754,74.106,66.706,60.4,1.788,1.17,2.41,79.22,54.86,79.22,68.38,,,,1.0,False,25,17,4,10,4,7,0,67,BON,Achat - position standard,vert clair,73.48,80.63,2026-09-23
RMS.PA,Hermès,Luxe,1349.5,-0.41,75546,138700.0,0.54,1373.818,1425.263,1727.339,30.8,39.724,0.98,2.63,2300.0,1298.5,1628.5,1298.5,,,,3.0,False,0,15,4,7,6,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1289.91,1448.81,2026-09-23
KER.PA,Kering,Luxe,227.3,-2.03,272541,352699.0,0.77,233.737,239.974,255.969,35.7,7.79,0.99,2.97,354.2,224.9,257.5,224.9,,,,2.0,False,0,18,4,7,3,4,0,36,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,215.62,246.77,2026-09-23
