ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,167.38,0.36,685115,696474.0,0.98,168.613,170.516,163.576,37.4,2.29,0.88,1.14,182.26,140.78,178.12,165.36,,,,3.0,False,12,18,6,7,6,4,5,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.95,173.1,2026-08-20
AIR.PA,Airbus,Aéronautique,204.8,-1.56,548650,956441.0,0.57,210.194,208.915,189.089,46.6,4.283,0.87,1.67,221.3,157.42,217.05,202.6,,,,,False,25,20,8,7,3,4,5,72,BON,Achat - position standard,vert clair,198.38,215.51,2026-08-20
ALO.PA,Alstom,Industrie,15.82,-0.31,656959,1095951.0,0.6,16.05,16.125,19.389,44.2,0.371,0.85,2.04,30.23,14.72,17.05,15.3,,2.0,,,False,0,20,4,7,3,4,5,43,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,15.27,16.75,2026-08-20
MT.AS,ArcelorMittal,Matériaux,61.16,-1.74,2008627,1485684.0,1.35,62.489,61.736,50.25,50.3,2.172,1.04,3.15,65.24,27.42,65.24,56.8,,,,,False,25,20,2,7,3,4,5,66,BON,Achat - position standard,vert clair,57.9,66.59,2026-08-20
CS.PA,AXA,Assurance,43.53,-1.02,2110085,2268330.0,0.93,44.389,44.513,41.408,37.0,0.566,0.99,1.16,45.66,36.55,45.66,43.23,,1.0,baissière,0.0,False,12,15,6,7,3,0,5,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,42.68,44.94,2026-08-20
BNP.PA,BNP Paribas,Banque,105.96,-0.77,1478843,1593045.0,0.93,109.36,108.899,92.71,42.9,1.954,0.91,1.39,113.82,65.12,113.82,103.46,,,,,False,25,20,6,7,3,4,5,70,BON,Achat - position standard,vert clair,103.03,110.85,2026-08-20
EN.PA,Bouygues,BTP/Télécom,46.38,-0.69,369196,549840.0,0.67,47.219,47.615,46.94,38.0,0.858,0.91,1.52,53.48,35.39,50.2,46.0,,5.0,,,False,8,15,4,7,3,4,5,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,45.09,48.52,2026-08-20
CAP.PA,Capgemini,Technologie,109.55,-0.72,366816,650676.0,0.56,107.818,104.752,109.928,61.9,3.847,0.96,3.12,153.05,85.62,111.85,85.62,,,,,False,8,17,4,7,4,7,5,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,103.78,119.17,2026-08-20
CA.PA,Carrefour,Distribution,15.73,-0.25,1176301,1934014.0,0.61,15.782,15.888,15.46,44.4,0.269,0.76,1.15,17.53,11.94,16.74,15.22,,,,,False,12,20,8,8,8,4,5,65,BON,Achat - position standard,vert clair,15.33,16.4,2026-08-20
ACA.PA,Crédit Agricole,Banque,19.1,-0.34,3289034,4221948.0,0.78,19.563,19.285,17.437,50.7,0.312,1.01,1.43,20.4,15.29,20.4,18.0,,,,6.0,False,25,20,8,7,3,4,5,72,BON,Achat - position standard,vert clair,18.63,19.88,2026-08-20
BN.PA,Danone,Agroalimentaire,66.18,0.76,782634,1310567.0,0.6,66.633,67.787,69.403,39.4,1.287,0.88,1.55,80.14,60.64,72.72,64.84,,,,3.0,False,0,15,4,7,6,4,5,41,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,64.25,69.4,2026-08-20
DSY.PA,Dassault Systèmes,Technologie,22.23,-0.04,1534183,2034493.0,0.75,21.754,21.102,21.251,64.7,0.675,0.94,2.74,30.36,15.82,22.43,17.62,,,,9.0,False,20,17,4,7,8,7,5,68,BON,Achat - position standard,vert clair,21.22,23.92,2026-08-20
EDEN.PA,Edenred,Services,28.82,-0.83,331426,628119.0,0.53,28.455,27.873,22.981,62.5,0.732,0.9,2.17,29.5,15.23,29.5,25.16,,,,,False,25,17,4,7,6,7,5,71,BON,Achat - position standard,vert clair,27.72,30.65,2026-08-20
ENGI.PA,Engie,Énergie,25.57,0.83,2397720,3000524.0,0.8,25.828,26.198,25.36,38.7,0.522,0.91,1.95,29.89,17.2,27.93,25.24,,,,1.0,False,12,18,4,7,6,4,5,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,24.79,26.87,2026-08-20
EL.PA,EssilorLuxottica,Santé/Optique,161.2,-1.38,383630,709102.0,0.54,164.091,165.923,204.033,40.6,4.774,0.93,2.84,323.8,159.2,176.6,159.2,,5.0,,3.0,False,0,20,8,7,3,4,5,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,154.04,173.14,2026-08-20
ERF.PA,Eurofins Scientific,Santé,72.82,3.06,323338,211070.0,1.53,70.52,69.762,64.8,68.1,1.452,0.91,1.7,74.32,54.86,73.0,64.56,,,haussière,0.0,True,25,10,15,7,8,10,5,80,EXCELLENT,Achat fort - position pleine,vert,70.64,76.45,2026-08-20
RMS.PA,Hermès,Luxe,1549.5,-2.09,95586,96401.0,0.99,1577.385,1595.254,1805.293,42.2,45.34,0.87,2.36,2300.0,1465.5,1705.0,1465.5,,,,,False,0,20,6,7,3,4,5,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,1481.49,1662.85,2026-08-20
KER.PA,Kering,Luxe,250.6,-3.63,256203,332071.0,0.77,263.609,265.954,259.833,40.3,9.393,0.96,2.99,354.2,220.9,293.5,236.2,,1.0,,,False,3,20,4,7,3,4,5,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,236.51,274.08,2026-08-20
OR.PA,L'Oréal,Cosmétiques,385.8,0.85,252990,313086.0,0.81,381.434,382.039,374.981,53.4,7.904,0.95,1.88,408.35,338.85,401.0,366.1,,3.0,,,False,12,20,6,7,6,4,5,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,373.94,405.56,2026-08-20
LR.PA,Legrand,Industrie,134.65,-0.15,260288,554305.0,0.47,137.412,137.78,138.338,42.0,3.589,0.91,2.3,166.95,121.95,143.8,125.7,,1.0,,,False,0,20,8,7,3,4,5,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,129.27,143.62,2026-08-20
MC.PA,LVMH,Luxe,443.1,-2.83,558304,530704.0,1.05,457.178,466.304,506.031,34.7,12.185,0.9,2.24,654.7,440.0,496.35,443.1,,,baissière,0.0,False,0,18,6,7,3,0,5,39,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,424.82,473.56,2026-08-20
