ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,177.7,0.7,794723,875912.0,0.91,176.399,174.564,161.596,59.3,2.812,0.93,1.5,182.26,140.78,182.26,164.8,,,,,False,25,17,6,7,6,7,7,75,BON,Achat - position standard,vert clair,173.48,184.73,2026-07-20
AIR.PA,Airbus,Aéronautique,191.78,-1.31,817166,1042657.0,0.78,195.459,194.553,183.895,48.1,4.592,0.9,2.19,221.3,157.42,210.95,187.5,,,,,False,25,20,8,7,3,4,7,74,BON,Achat - position standard,vert clair,184.89,203.26,2026-07-20
ALO.PA,Alstom,Industrie,15.85,0.89,1068100,1616878.0,0.66,15.68,15.762,20.166,49.0,0.455,0.99,2.86,30.23,14.72,16.87,14.93,,,,,False,0,20,4,7,8,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.16,16.98,2026-07-20
MT.AS,ArcelorMittal,Matériaux,58.24,0.45,1732012,1948997.0,0.89,57.529,56.806,47.449,55.7,2.207,1.02,3.71,62.6,26.35,59.98,51.24,,5.0,,,False,25,17,6,7,4,7,7,73,BON,Achat - position standard,vert clair,54.93,63.76,2026-07-20
CS.PA,AXA,Assurance,44.76,-0.09,1856354,2642837.0,0.7,44.365,43.77,40.572,70.5,0.568,0.96,1.18,44.89,36.55,44.89,42.46,,,,1.0,False,25,3,4,7,6,7,7,59,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.91,46.18,2026-07-20
BNP.PA,BNP Paribas,Banque,103.3,1.33,1499606,1616914.0,0.93,102.094,101.107,88.59,60.5,2.084,1.04,1.87,103.6,65.12,103.6,97.31,,,,,False,25,17,6,7,6,7,7,75,BON,Achat - position standard,vert clair,100.17,108.51,2026-07-20
EN.PA,Bouygues,BTP/Télécom,48.04,0.54,483165,795304.0,0.61,47.677,48.046,46.741,47.7,0.9,0.97,1.76,53.48,35.39,50.56,45.7,,,,8.0,False,12,20,4,7,8,4,7,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,46.69,50.29,2026-07-20
CAP.PA,Capgemini,Technologie,91.58,0.28,843877,654410.0,1.29,91.271,91.822,111.545,47.5,3.512,0.99,3.52,153.05,86.2,95.3,86.52,,,,,False,0,20,2,7,4,4,7,44,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,86.31,100.36,2026-07-20
CA.PA,Carrefour,Distribution,16.74,-0.27,2117340,2146532.0,0.99,16.554,16.431,15.354,56.6,0.334,0.91,1.83,17.53,11.94,16.88,15.62,,7.0,,1.0,False,25,17,6,7,8,7,7,77,BON,Achat - position standard,vert clair,16.24,17.58,2026-07-20
ACA.PA,Crédit Agricole,Banque,17.93,0.82,3692863,4290060.0,0.86,17.745,17.594,16.991,60.6,0.287,0.99,1.54,19.15,15.29,18.0,16.97,,,,,False,25,17,6,7,8,7,7,77,BON,Achat - position standard,vert clair,17.5,18.65,2026-07-20
BN.PA,Danone,Agroalimentaire,73.14,0.22,876122,1525512.0,0.57,72.551,71.452,69.693,64.5,1.202,0.93,1.48,80.14,60.64,74.68,66.74,,,,,False,25,17,4,7,6,7,7,73,BON,Achat - position standard,vert clair,71.34,76.15,2026-07-20
DSY.PA,Dassault Systèmes,Technologie,18.15,1.45,1845951,1791685.0,1.03,18.223,18.242,21.32,48.1,0.609,0.97,3.22,33.16,15.82,18.94,16.9,,1.0,,,False,0,20,6,7,4,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.23,19.67,2026-07-20
EDEN.PA,Edenred,Services,26.93,1.43,731050,822561.0,0.89,25.386,24.251,21.75,75.1,0.809,0.97,2.98,27.54,15.23,26.98,21.81,,,haussière,0.0,False,25,3,6,7,8,7,7,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,25.72,28.95,2026-07-20
ENGI.PA,Engie,Énergie,26.89,0.11,2099381,2518035.0,0.83,26.982,27.04,25.096,47.9,0.498,0.96,1.93,29.89,17.2,27.81,26.43,,2.0,,,False,12,20,6,7,6,4,7,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,26.14,28.13,2026-07-20
EL.PA,EssilorLuxottica,Santé/Optique,168.25,0.93,492740,659384.0,0.75,168.849,170.232,213.269,45.9,4.993,0.93,2.75,323.8,160.6,177.95,160.6,,,,,False,0,20,4,7,6,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,160.76,180.73,2026-07-20
ERF.PA,Eurofins Scientific,Santé,71.1,1.17,262758,242022.0,1.09,69.573,68.367,63.663,69.1,1.451,0.98,2.03,74.32,54.86,71.28,63.78,,,haussière,0.0,False,25,10,6,7,10,7,7,72,BON,Achat - position standard,vert clair,68.92,74.73,2026-07-20
RMS.PA,Hermès,Luxe,1676.0,-0.3,56062,78912.0,0.71,1664.244,1652.177,1854.9,54.0,46.627,0.88,2.51,2421.0,1529.0,1709.0,1564.0,,3.0,,8.0,False,3,20,8,7,4,7,7,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,1606.06,1792.57,2026-07-20
KER.PA,Kering,Luxe,253.45,0.46,275314,270939.0,1.02,251.567,252.638,258.227,50.4,8.876,0.93,2.93,354.2,206.1,272.95,238.75,,,,8.0,False,8,20,6,7,10,4,7,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,240.14,275.64,2026-07-20
OR.PA,L'Oréal,Cosmétiques,380.4,-0.35,242661,349006.0,0.7,381.008,381.313,373.33,49.6,7.774,0.93,1.88,408.35,338.85,393.5,369.45,,4.0,,,False,12,20,4,7,6,4,7,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,368.74,399.84,2026-07-20
LR.PA,Legrand,Industrie,135.1,-0.22,499093,570525.0,0.87,138.839,141.152,138.746,36.5,4.189,0.99,2.74,166.95,121.95,151.5,133.3,,,,,False,3,15,6,7,3,4,7,45,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,128.82,145.57,2026-07-20
MC.PA,LVMH,Luxe,486.85,-1.67,288346,455189.0,0.63,492.313,491.692,515.526,47.9,13.471,0.93,2.4,654.7,440.0,503.8,471.35,,3.0,,,False,3,20,8,7,3,4,7,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,466.64,520.53,2026-07-20
ML.PA,Michelin,Industrie,34.85,-0.77,1062573,1443555.0,0.74,34.733,34.309,31.719,59.2,0.633,1.01,1.79,35.72,25.51,35.72,32.43,,,,,False,25,17,8,7,3,7,7,74,BON,Achat - position standard,vert clair,33.9,36.43,2026-07-20
ORA.PA,Orange,Télécom,16.43,-0.18,3831832,4620503.0,0.83,16.273,16.412,16.127,47.5,0.331,0.96,1.94,18.81,12.9,17.18,15.62,,,,,False,12,20,6,7,8,4,7,64,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.94,17.26,2026-07-20
RI.PA,Pernod Ricard,Boissons,65.66,0.64,412891,636857.0,0.65,64.797,64.4,72.548,55.6,1.805,1.02,2.84,107.45,58.6,67.06,61.4,,9.0,,,False,3,17,4,7,8,7,7,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,62.95,70.17,2026-07-20
PUB.PA,Publicis,Communication,88.22,0.59,637349,653537.0,0.98,87.994,87.491,83.432,52.9,2.526,1.09,2.7,92.78,68.14,92.26,81.52,,3.0,,,False,25,20,6,7,4,7,7,76,BON,Achat - position standard,vert clair,84.43,94.53,2026-07-20
RNO.PA,Renault,Automobile,25.9,-0.92,1329154,1416189.0,0.94,26.163,26.322,31.019,45.1,0.845,0.9,2.92,37.97,24.66,27.36,24.66,,,,,False,0,20,6,7,4,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,24.63,28.01,2026-07-20
SAF.PA,Safran,Aéronautique,324.7,-1.46,478163,650628.0,0.73,331.691,331.967,302.62,46.3,8.791,0.96,2.31,360.8,262.6,360.8,322.1,baissier,0.0,,,False,12,20,4,7,3,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,311.51,346.68,2026-07-20
SGO.PA,Saint-Gobain,Matériaux,74.6,-1.82,990526,969775.0,1.02,75.993,76.73,80.929,42.7,2.087,0.93,2.48,104.65,65.88,82.42,73.66,,7.0,,,False,0,20,6,7,3,4,7,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,71.47,79.82,2026-07-20
SAN.PA,Sanofi,Santé,76.91,-0.56,1825478,2258636.0,0.81,76.442,75.903,79.72,55.0,1.658,0.92,2.12,91.15,71.25,78.42,72.56,,8.0,,,False,3,20,6,7,4,7,7,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,74.42,81.05,2026-07-20
SU.PA,Schneider Electric,Industrie,264.7,0.86,761144,817021.0,0.93,267.879,271.098,256.163,43.3,8.107,0.98,2.64,293.7,208.8,287.7,257.15,,9.0,,,False,12,20,6,7,6,4,7,62,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,252.54,284.97,2026-07-20
