ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,174.3,0.77,711715,1060961.0,0.67,174.8,173.413,172.286,52.3,3.185,0.93,1.58,189.8,154.86,182.26,164.16,,9.0,,5.0,False,25,20,4,7,4,4,7,71,BON,Achat - position standard,vert clair,169.52,182.26,2026-07-10
AIR.PA,Airbus,Aéronautique,197.26,0.38,692005,1256393.0,0.55,198.809,194.576,183.232,57.0,5.21,0.98,2.4,221.3,157.42,210.95,182.8,,,,4.0,False,25,17,4,7,3,4,7,67,BON,Achat - position standard,vert clair,189.44,210.29,2026-07-10
ALO.PA,Alstom,Industrie,15.67,0.26,1237201,1951379.0,0.63,15.688,15.866,20.439,43.2,0.462,0.98,2.77,30.23,14.72,16.87,14.93,,,,9.0,False,0,20,4,7,4,4,7,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,14.98,16.82,2026-07-10
MT.AS,ArcelorMittal,Matériaux,58.02,6.42,2524562,2245390.0,1.12,55.606,55.633,46.781,55.8,2.303,1.06,3.85,62.6,26.35,62.58,51.24,,,,9.0,False,12,17,6,7,10,4,7,63,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,54.57,63.78,2026-07-10
CS.PA,AXA,Assurance,44.27,-0.07,1925599,3495617.0,0.55,43.926,43.189,40.331,70.9,0.581,0.94,1.22,44.54,36.55,44.54,41.11,,,,3.0,False,25,3,4,7,4,7,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.4,45.72,2026-07-10
BNP.PA,BNP Paribas,Banque,100.7,0.88,1237889,2099896.0,0.59,100.865,100.017,87.721,54.8,2.01,0.98,1.68,103.6,65.12,103.6,97.31,,,,4.0,False,25,20,4,7,6,4,7,73,BON,Achat - position standard,vert clair,97.68,105.73,2026-07-10
EN.PA,Bouygues,BTP/Télécom,46.7,0.0,576180,938890.0,0.61,47.427,48.325,46.678,35.0,0.921,0.96,1.76,53.48,35.39,51.1,45.7,,,,2.0,False,12,15,4,7,6,4,7,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,45.32,49.0,2026-07-10
CAP.PA,Capgemini,Technologie,88.96,-0.04,645984,757136.0,0.85,90.652,92.105,112.735,40.1,3.25,0.87,3.04,153.05,86.2,100.0,86.2,,,,,False,0,20,6,7,4,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,84.09,97.08,2026-07-10
CA.PA,Carrefour,Distribution,16.49,0.95,1199248,2665723.0,0.45,16.299,16.269,15.272,53.5,0.367,0.99,1.77,17.53,11.94,16.7,15.24,,1.0,,,False,25,20,0,7,8,7,7,74,BON,Achat - position standard,vert clair,15.94,17.41,2026-07-10
ACA.PA,Crédit Agricole,Banque,17.49,0.37,2961768,5520864.0,0.54,17.508,17.414,16.938,53.5,0.292,0.96,1.4,19.15,15.29,17.94,16.86,,,,4.0,False,25,20,4,7,3,4,7,70,BON,Achat - position standard,vert clair,17.05,18.22,2026-07-10
BN.PA,Danone,Agroalimentaire,72.42,0.0,946400,1750589.0,0.54,72.354,70.571,69.519,62.9,1.283,1.0,1.66,80.14,60.64,74.68,64.68,,,,6.0,False,25,17,4,7,4,7,7,71,BON,Achat - position standard,vert clair,70.5,75.63,2026-07-10
DSY.PA,Dassault Systèmes,Technologie,18.24,0.14,1036568,2236150.0,0.46,18.219,18.224,21.502,49.2,0.594,0.91,2.97,33.16,15.82,18.94,16.8,,2.0,,,False,0,20,4,7,4,4,7,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,17.34,19.72,2026-07-10
EDEN.PA,Edenred,Services,23.57,0.08,736767,1189475.0,0.62,23.231,22.821,21.483,58.2,0.761,0.89,2.67,27.54,15.23,24.74,20.38,,,,,False,25,17,10,7,4,7,7,77,BON,Achat - position standard,vert clair,22.43,25.47,2026-07-10
ENGI.PA,Engie,Énergie,26.88,-0.81,1709968,2949249.0,0.58,27.089,27.095,24.978,47.5,0.528,1.03,1.98,29.89,17.2,27.81,26.43,baissier,0.0,,,False,12,20,4,7,3,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,26.09,28.2,2026-07-10
EL.PA,EssilorLuxottica,Santé/Optique,171.4,-0.15,562146,798503.0,0.7,171.57,172.174,216.076,47.9,5.297,0.97,3.06,323.8,160.6,188.9,160.6,,,,,False,0,20,4,7,4,4,7,46,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,163.45,184.64,2026-07-10
