ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,176.52,-0.66,844866,851465.0,0.99,176.423,174.751,161.745,56.4,2.802,0.93,1.51,182.26,140.78,182.26,166.92,,,,,False,25,17,6,7,3,7,10,75,BON,Achat - position standard,vert clair,172.32,183.53,2026-07-21
AIR.PA,Airbus,Aéronautique,194.6,1.47,870715,1033467.0,0.84,195.288,194.558,184.002,52.6,4.657,0.92,2.22,221.3,157.42,210.95,189.22,,,,,False,25,20,6,7,6,4,10,78,BON,Achat - position standard,vert clair,187.61,206.24,2026-07-21
ALO.PA,Alstom,Industrie,15.97,0.76,1093334,1606783.0,0.68,15.737,15.781,20.124,51.1,0.446,0.97,2.88,30.23,14.72,16.87,14.93,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.3,17.08,2026-07-21
MT.AS,ArcelorMittal,Matériaux,57.86,-0.65,1577707,1947710.0,0.81,57.595,56.906,47.553,54.3,2.18,1.0,3.65,62.6,26.35,59.98,51.24,,6.0,,,False,25,20,6,7,4,7,10,79,BON,Achat - position standard,vert clair,54.59,63.31,2026-07-21
CS.PA,AXA,Assurance,44.79,0.07,2294285,2588476.0,0.89,44.45,43.867,40.614,70.8,0.564,0.96,1.14,44.92,36.55,44.92,42.46,,,,2.0,False,25,3,6,7,3,7,10,61,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,43.94,46.2,2026-07-21
BNP.PA,BNP Paribas,Banque,105.16,1.8,2140512,1602919.0,1.34,102.707,101.493,88.755,65.1,2.076,1.04,1.9,105.16,65.12,105.16,97.31,,,haussière,0.0,False,25,10,12,7,6,10,10,80,EXCELLENT,Achat fort - position pleine,vert,102.05,110.35,2026-07-21
EN.PA,Bouygues,BTP/Télécom,47.75,-0.6,383549,777179.0,0.49,47.691,48.018,46.751,45.6,0.87,0.94,1.66,53.48,35.39,50.56,45.7,,,,9.0,False,12,20,4,7,8,4,10,65,BON,Achat - position standard,vert clair,46.44,49.93,2026-07-21
CAP.PA,Capgemini,Technologie,90.02,-1.7,838256,662922.0,1.26,91.021,91.651,111.331,44.1,3.458,0.98,3.41,153.05,86.2,95.3,86.52,,,,,False,0,20,2,7,4,4,10,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,84.83,98.67,2026-07-21
CA.PA,Carrefour,Distribution,16.55,-1.16,2565264,2111707.0,1.21,16.552,16.442,15.366,52.5,0.332,0.91,1.61,17.53,11.94,16.88,15.62,,8.0,,2.0,False,25,20,2,7,4,7,10,75,BON,Achat - position standard,vert clair,16.05,17.37,2026-07-21
ACA.PA,Crédit Agricole,Banque,18.1,0.98,3420177,4272785.0,0.8,17.817,17.643,17.002,63.8,0.279,0.97,1.51,19.15,15.29,18.1,16.97,,,haussière,0.0,False,25,17,6,7,8,7,10,80,EXCELLENT,Achat fort - position pleine,vert,17.69,18.8,2026-07-21
