ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,172.38,-0.48,606001,770617.0,0.79,173.12,173.692,163.081,47.2,2.672,0.94,1.28,182.26,140.78,178.62,169.24,,5.0,,,False,12,20,8,7,6,4,10,67,BON,Achat - position standard,vert clair,168.37,179.06,2026-08-07
AIR.PA,Airbus,Aéronautique,213.6,0.54,694849,1043050.0,0.67,210.386,205.752,186.942,63.0,4.998,0.98,2.03,221.3,157.42,217.05,190.9,,,,2.0,False,25,17,4,7,4,7,10,74,BON,Achat - position standard,vert clair,206.1,226.1,2026-08-07
ALO.PA,Alstom,Industrie,16.66,-1.57,546750,1247152.0,0.44,16.509,16.265,19.697,57.0,0.445,0.98,2.58,30.23,14.72,17.05,15.03,,,,,False,3,17,4,7,4,7,10,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.99,17.77,2026-08-07
MT.AS,ArcelorMittal,Matériaux,62.98,-1.38,1692330,1716331.0,0.99,61.892,60.039,49.033,62.6,2.15,0.99,3.39,65.24,27.42,65.24,56.14,,,,3.0,False,25,17,6,7,4,7,10,76,BON,Achat - position standard,vert clair,59.75,68.36,2026-08-07
CS.PA,AXA,Assurance,45.05,0.0,2215496,2345724.0,0.94,44.904,44.623,41.104,61.4,0.601,1.04,1.23,45.66,36.55,45.66,43.63,,,,7.0,False,25,17,6,7,6,7,10,78,BON,Achat - position standard,vert clair,44.15,46.55,2026-08-07
BNP.PA,BNP Paribas,Banque,112.44,-0.14,1324287,1694806.0,0.78,110.32,107.413,91.033,71.2,2.168,1.0,1.94,113.62,65.12,113.62,99.57,,,,1.0,False,25,3,4,7,4,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,109.19,117.86,2026-08-07
EN.PA,Bouygues,BTP/Télécom,48.64,-1.12,367241,625523.0,0.59,48.535,48.268,46.906,52.3,0.987,1.05,2.01,53.48,35.39,50.2,46.0,,4.0,,5.0,False,25,20,4,7,4,7,10,77,BON,Achat - position standard,vert clair,47.16,51.11,2026-08-07
CAP.PA,Capgemini,Technologie,109.25,0.0,498919,794588.0,0.63,104.856,99.964,110.096,67.8,4.166,1.11,4.21,153.05,85.62,111.85,85.62,,7.0,,6.0,False,8,10,4,10,4,7,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,103.0,119.66,2026-08-07
CA.PA,Carrefour,Distribution,15.77,-0.97,1748065,2119142.0,0.82,15.931,16.085,15.43,43.2,0.365,0.98,2.03,17.53,11.94,16.91,15.22,,9.0,,,False,12,20,6,7,6,4,10,65,BON,Achat - position standard,vert clair,15.22,16.68,2026-08-07
ACA.PA,Crédit Agricole,Banque,19.6,0.75,2592650,3939618.0,0.66,19.112,18.617,17.21,74.4,0.32,1.08,1.51,19.65,15.29,19.65,17.35,,,,4.0,False,25,3,4,7,4,7,10,60,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,19.12,20.41,2026-08-07
BN.PA,Danone,Agroalimentaire,68.22,0.09,1022001,1339116.0,0.76,68.876,69.688,69.662,42.7,1.507,1.08,2.18,80.14,60.64,74.12,67.14,,5.0,,4.0,False,3,20,4,7,6,4,10,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,65.96,71.99,2026-08-07
DSY.PA,Dassault Systèmes,Technologie,22.25,2.39,1770896,2125469.0,0.83,21.021,20.073,21.198,73.4,0.737,1.08,3.94,30.36,15.82,22.43,17.56,,9.0,haussière,0.0,False,20,3,6,7,8,7,10,61,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,21.14,24.09,2026-08-07
EDEN.PA,Edenred,Services,28.92,0.07,322253,838772.0,0.38,28.35,27.131,22.469,70.8,0.817,0.99,3.0,29.5,15.23,29.5,23.56,,,,2.0,False,25,3,0,7,4,7,10,56,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,27.7,30.96,2026-08-07
ENGI.PA,Engie,Énergie,26.72,0.6,1867653,2764137.0,0.68,26.671,26.81,25.31,48.2,0.607,1.11,2.34,29.89,17.2,27.93,25.94,,7.0,,6.0,False,12,20,4,10,6,4,10,66,BON,Achat - position standard,vert clair,25.81,28.24,2026-08-07
EL.PA,EssilorLuxottica,Santé/Optique,172.3,0.58,786218,672287.0,1.17,169.421,168.802,207.739,55.3,5.463,1.06,3.16,323.8,160.6,176.6,160.8,,1.0,,,False,3,17,6,7,8,7,10,58,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,164.11,185.96,2026-08-07
ERF.PA,Eurofins Scientific,Santé,69.8,-0.11,161279,242681.0,0.66,69.067,68.654,64.283,57.4,1.585,0.97,2.51,74.32,54.86,71.28,64.56,,,,,False,25,17,4,7,6,7,10,76,BON,Achat - position standard,vert clair,67.42,73.76,2026-08-07
RMS.PA,Hermès,Luxe,1635.5,0.58,73076,98136.0,0.74,1602.199,1616.681,1824.765,51.5,56.763,1.11,3.39,2300.0,1465.5,1709.0,1465.5,,6.0,,6.0,False,0,20,4,10,6,4,10,54,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,1550.36,1777.41,2026-08-07
KER.PA,Kering,Luxe,286.65,-1.07,243415,321078.0,0.76,278.583,268.49,259.199,63.1,10.274,1.09,3.2,354.2,208.45,293.5,236.2,,6.0,,6.0,False,25,17,4,7,4,7,10,74,BON,Achat - position standard,vert clair,271.24,312.34,2026-08-07
OR.PA,L'Oréal,Cosmétiques,385.9,-1.15,300451,295973.0,1.02,386.253,383.965,374.451,52.9,8.81,1.06,2.3,408.35,338.85,401.0,366.1,,5.0,,5.0,False,25,20,6,7,4,4,10,76,BON,Achat - position standard,vert clair,372.69,407.92,2026-08-07
LR.PA,Legrand,Industrie,140.2,0.83,400656,644749.0,0.62,136.591,137.013,138.268,54.8,4.108,1.01,2.88,166.95,121.95,143.45,125.7,,,,7.0,False,12,20,4,7,8,4,10,65,BON,Achat - position standard,vert clair,134.04,150.47,2026-08-07
MC.PA,LVMH,Luxe,480.0,-0.3,404209,503180.0,0.8,478.845,480.173,510.119,49.2,13.864,1.0,2.82,654.7,440.0,503.1,449.5,,,,,False,0,20,6,7,8,4,10,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,459.2,514.66,2026-08-07
ML.PA,Michelin,Industrie,34.56,1.14,1659166,1631767.0,1.02,34.461,34.449,32.062,52.8,0.718,1.07,1.98,35.72,25.51,35.48,33.46,haussier,0.0,,,False,25,20,6,7,6,4,10,78,BON,Achat - position standard,vert clair,33.48,36.36,2026-08-07
ORA.PA,Orange,Télécom,16.45,0.83,4219009,4352667.0,0.97,16.466,16.488,16.176,48.9,0.411,1.15,2.23,18.81,13.07,17.52,15.82,,2.0,,6.0,False,12,20,6,10,4,4,10,66,BON,Achat - position standard,vert clair,15.84,17.48,2026-08-07
RI.PA,Pernod Ricard,Boissons,70.32,1.88,697538,643866.0,1.08,67.991,66.575,71.802,65.7,1.971,1.06,2.72,107.45,58.6,71.14,61.16,,7.0,,6.0,False,3,10,6,7,8,7,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,67.36,75.25,2026-08-07
