ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,177.08,1.11,594570,1000295.0,0.59,175.977,174.0,161.27,58.6,2.995,0.99,1.57,182.26,140.78,182.26,164.16,,,,9.0,False,25,17,4,7,3,7,10,73,BON,Achat - position standard,vert clair,172.59,184.57,2026-07-16
AIR.PA,Airbus,Aéronautique,195.62,0.12,744940,1162616.0,0.64,196.894,194.901,183.713,54.4,4.791,0.92,2.22,221.3,157.42,210.95,187.12,,,,8.0,False,25,20,4,7,3,4,10,73,BON,Achat - position standard,vert clair,188.43,207.6,2026-07-16
ALO.PA,Alstom,Industrie,15.91,1.86,1037336,1741235.0,0.6,15.622,15.758,20.25,49.8,0.459,1.0,2.81,30.23,14.72,16.87,14.93,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,15.22,17.06,2026-07-16
MT.AS,ArcelorMittal,Matériaux,57.94,-1.06,1092970,2089557.0,0.52,57.193,56.515,47.235,54.9,2.187,1.01,3.67,62.6,26.35,59.64,51.24,,3.0,,,False,25,20,8,7,4,7,10,81,EXCELLENT,Achat fort - position pleine,vert,54.66,63.41,2026-07-16
CS.PA,AXA,Assurance,44.5,1.27,1758266,3047126.0,0.58,44.133,43.546,40.486,68.9,0.584,0.98,1.26,44.54,36.55,44.54,42.27,,,,7.0,False,25,10,4,7,6,7,10,69,BON,Achat - position standard,vert clair,43.62,45.96,2026-07-16
BNP.PA,BNP Paribas,Banque,102.94,0.29,1456779,1854518.0,0.79,101.756,100.764,88.295,60.7,2.035,1.02,1.82,103.6,65.12,103.6,97.31,,,,8.0,False,25,17,4,7,6,7,10,76,BON,Achat - position standard,vert clair,99.89,108.03,2026-07-16
EN.PA,Bouygues,BTP/Télécom,47.7,-1.16,786145,921255.0,0.85,47.537,48.074,46.714,44.9,0.914,0.98,1.86,53.48,35.39,50.56,45.7,,,,6.0,False,12,20,6,7,10,4,10,69,BON,Achat - position standard,vert clair,46.33,49.99,2026-07-16
CAP.PA,Capgemini,Technologie,91.22,-1.83,735357,743407.0,0.99,91.162,91.903,111.935,46.7,3.531,0.97,3.38,153.05,86.2,95.3,86.52,,,,,False,0,20,6,7,4,4,10,51,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,85.92,100.05,2026-07-16
CA.PA,Carrefour,Distribution,16.53,0.85,1614146,2517133.0,0.64,16.438,16.358,15.322,53.5,0.347,0.94,1.82,17.53,11.94,16.72,15.37,,5.0,,,False,25,20,4,7,4,7,10,77,BON,Achat - position standard,vert clair,16.01,17.4,2026-07-16
ACA.PA,Crédit Agricole,Banque,17.92,0.84,4247598,4662152.0,0.91,17.678,17.535,16.972,61.6,0.283,0.96,1.47,19.15,15.29,17.95,16.97,,,,8.0,False,25,17,6,7,10,7,10,82,EXCELLENT,Achat fort - position pleine,vert,17.5,18.63,2026-07-16
BN.PA,Danone,Agroalimentaire,72.76,1.25,886235,1657667.0,0.53,72.259,71.095,69.623,63.0,1.216,0.95,1.44,80.14,60.64,74.68,64.68,,,,,False,25,17,4,7,6,7,10,76,BON,Achat - position standard,vert clair,70.94,75.8,2026-07-16
DSY.PA,Dassault Systèmes,Technologie,18.26,-1.0,1712063,1923723.0,0.89,18.332,18.291,21.385,49.1,0.617,0.98,3.01,33.16,15.82,18.94,16.89,,3.0,,,False,3,20,6,7,4,7,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,17.34,19.81,2026-07-16
EDEN.PA,Edenred,Services,26.29,1.66,1022058,1074727.0,0.95,24.613,23.698,21.639,72.5,0.84,0.98,3.03,27.54,15.23,26.52,21.81,,,haussière,0.0,False,25,3,10,7,8,7,10,70,BON,Achat - position standard,vert clair,25.03,28.39,2026-07-16
