ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,167.04,0.13,770128,742256.0,1.04,169.406,171.165,163.577,35.2,2.286,0.86,1.16,182.26,140.78,178.12,166.4,,,,1.0,False,12,18,6,7,3,4,7,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.61,172.75,2026-08-18
AIR.PA,Airbus,Aéronautique,209.8,-2.08,771894,1004896.0,0.77,212.376,209.514,188.885,53.5,4.497,0.88,1.83,221.3,157.42,217.05,201.65,,,,9.0,False,25,20,8,7,3,4,7,74,BON,Achat - position standard,vert clair,203.05,221.04,2026-08-18
ALO.PA,Alstom,Industrie,15.8,-1.71,991711,1119115.0,0.89,16.164,16.189,19.427,43.4,0.396,0.9,2.26,30.23,14.72,17.05,15.3,baissier,0.0,,,False,0,20,6,7,3,4,7,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,15.21,16.79,2026-08-18
MT.AS,ArcelorMittal,Matériaux,61.74,-2.5,1353176,1566025.0,0.86,62.999,61.835,50.129,52.8,1.978,0.95,3.09,65.24,27.42,65.24,56.78,,,,,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,58.77,66.68,2026-08-18
CS.PA,AXA,Assurance,44.55,-0.13,2426164,2346506.0,1.03,44.758,44.696,41.395,50.3,0.551,0.94,1.2,45.66,36.55,45.66,44.25,,,,,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,43.72,45.93,2026-08-18
BNP.PA,BNP Paribas,Banque,109.4,-1.57,1535601,1609438.0,0.95,111.064,109.432,92.316,54.5,1.928,0.88,1.54,113.82,65.12,113.82,103.18,,,,8.0,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,106.51,114.22,2026-08-18
EN.PA,Bouygues,BTP/Télécom,46.65,-1.69,591124,549366.0,1.08,47.609,47.855,46.939,39.5,0.881,0.94,1.85,53.48,35.39,50.2,46.0,,3.0,,,False,8,15,6,7,3,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,45.33,48.85,2026-08-18
CAP.PA,Capgemini,Technologie,107.3,1.08,346782,694067.0,0.5,106.719,103.837,109.863,59.5,3.878,0.96,3.5,153.05,85.62,111.85,85.62,,,,,False,3,20,0,7,3,7,7,47,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,101.48,116.99,2026-08-18
CA.PA,Carrefour,Distribution,15.9,1.5,1617495,2052820.0,0.79,15.798,15.91,15.459,48.1,0.28,0.79,1.33,17.53,11.94,16.91,15.22,,,,,False,12,20,4,8,10,4,7,65,BON,Achat - position standard,vert clair,15.48,16.59,2026-08-18
ACA.PA,Crédit Agricole,Banque,19.67,-1.97,3813958,4311587.0,0.88,19.82,19.354,17.422,62.4,0.309,0.99,1.6,20.4,15.29,20.4,18.0,,,,4.0,False,25,17,6,7,4,7,7,73,BON,Achat - position standard,vert clair,19.21,20.45,2026-08-18
