ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,175.14,-1.89,736417,1015284.0,0.73,175.701,173.676,161.113,55.4,3.04,1.0,1.54,182.26,140.78,182.26,164.16,,,,8.0,False,25,17,4,7,3,7,10,73,BON,Achat - position standard,vert clair,170.58,182.74,2026-07-15
AIR.PA,Airbus,Aéronautique,195.38,-0.29,886781,1176134.0,0.75,197.213,194.825,183.593,54.1,4.961,0.95,2.28,221.3,157.42,210.95,187.12,,,,7.0,False,25,20,4,7,3,4,10,73,BON,Achat - position standard,vert clair,187.94,207.78,2026-07-15
ALO.PA,Alstom,Industrie,15.62,2.43,1280878,1769196.0,0.72,15.55,15.742,20.292,44.9,0.468,1.01,2.86,30.23,14.72,16.87,14.93,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,14.92,16.79,2026-07-15
MT.AS,ArcelorMittal,Matériaux,58.56,-0.27,1592486,2170740.0,0.73,57.007,56.365,47.131,56.8,2.182,1.01,3.7,62.6,26.35,59.64,51.24,,2.0,,,False,25,17,4,7,8,7,10,78,BON,Achat - position standard,vert clair,55.29,64.02,2026-07-15
CS.PA,AXA,Assurance,43.94,-0.84,2312958,3123764.0,0.74,44.041,43.445,40.447,63.5,0.57,0.95,1.21,44.54,36.55,44.54,42.22,,,,6.0,False,25,17,8,7,3,7,10,77,BON,Achat - position standard,vert clair,43.09,45.36,2026-07-15
BNP.PA,BNP Paribas,Banque,102.64,0.31,1469428,1905385.0,0.77,101.46,100.535,88.148,59.9,2.066,1.03,1.83,103.6,65.12,103.6,97.31,,,,7.0,False,25,17,10,7,6,7,10,82,EXCELLENT,Achat fort - position pleine,vert,99.54,107.8,2026-07-15
EN.PA,Bouygues,BTP/Télécom,48.26,2.05,1139311,918729.0,1.24,47.497,48.114,46.703,48.7,0.929,0.99,1.85,53.48,35.39,50.86,45.7,,,,5.0,False,12,20,12,7,6,4,10,71,BON,Achat - position standard,vert clair,46.87,50.58,2026-07-15
CAP.PA,Capgemini,Technologie,92.92,3.08,492975,749820.0,0.66,91.147,91.975,112.14,50.1,3.518,0.96,3.36,153.05,86.2,97.48,86.2,,,,,False,0,20,4,7,8,4,10,53,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,87.64,101.71,2026-07-15
CA.PA,Carrefour,Distribution,16.4,-1.47,1851346,2557034.0,0.72,16.413,16.34,15.31,51.1,0.358,0.96,1.82,17.53,11.94,16.72,15.24,,4.0,,,False,25,20,4,7,4,7,10,77,BON,Achat - position standard,vert clair,15.86,17.29,2026-07-15
ACA.PA,Crédit Agricole,Banque,17.77,-0.34,3249889,4851907.0,0.67,17.617,17.494,16.962,58.7,0.29,0.98,1.49,19.15,15.29,17.94,16.97,,,,7.0,False,25,17,4,7,6,7,10,76,BON,Achat - position standard,vert clair,17.33,18.5,2026-07-15
BN.PA,Danone,Agroalimentaire,71.86,0.2,1005717,1677094.0,0.6,72.134,70.92,69.592,59.4,1.215,0.95,1.49,80.14,60.64,74.68,64.68,,,,9.0,False,25,17,4,7,3,7,10,73,BON,Achat - position standard,vert clair,70.04,74.9,2026-07-15
DSY.PA,Dassault Systèmes,Technologie,18.45,0.33,2052335,1937040.0,1.06,18.349,18.294,21.419,51.4,0.634,1.0,3.07,33.16,15.82,18.94,16.8,,2.0,,,False,3,20,6,7,4,7,10,57,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,17.5,20.04,2026-07-15
EDEN.PA,Edenred,Services,25.86,3.94,929128,1154782.0,0.8,24.193,23.425,21.591,70.7,0.804,0.93,2.86,27.54,15.23,25.86,21.81,,,haussière,0.0,False,25,3,10,7,8,7,10,70,BON,Achat - position standard,vert clair,24.65,27.87,2026-07-15
ENGI.PA,Engie,Énergie,27.04,-1.35,3074599,2721291.0,1.13,27.14,27.122,25.043,49.1,0.506,0.98,1.86,29.89,17.2,27.81,26.43,,2.0,,,False,25,20,6,7,4,4,10,76,BON,Achat - position standard,vert clair,26.28,28.3,2026-07-15
EL.PA,EssilorLuxottica,Santé/Optique,168.2,1.85,536190,748674.0,0.72,169.591,170.974,214.66,45.2,5.335,0.98,2.85,323.8,160.6,178.1,160.6,,,,,False,0,20,4,7,3,4,10,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,160.2,181.54,2026-07-15
ERF.PA,Eurofins Scientific,Santé,69.3,0.43,273072,263328.0,1.04,68.773,67.673,63.452,62.4,1.524,1.03,2.1,74.32,54.86,70.28,61.44,,,,,False,25,17,6,7,3,7,10,75,BON,Achat - position standard,vert clair,67.01,73.11,2026-07-15
